"date","clb_pop","wsb_pop","year","day_month","julian","month","day","pwsid"
2011-12-31,11759,12000,2011,"12-31","365",12,31,"TX300001"
2012-12-31,12214,12350,2012,"12-31","366",12,31,"TX300001"
2013-12-31,12564,12700,2013,"12-31","365",12,31,"TX300001"
2014-12-31,13239,13250,2014,"12-31","365",12,31,"TX300001"
2015-12-31,13619,13900,2015,"12-31","365",12,31,"TX300001"
2016-12-31,14392,14400,2016,"12-31","366",12,31,"TX300001"
2017-12-31,14968,15000,2017,"12-31","365",12,31,"TX300001"
2018-12-31,16076,16200,2018,"12-31","365",12,31,"TX300001"
2019-12-31,16930,17230,2019,"12-31","365",12,31,"TX300001"
2020-12-31,18065,18500,2020,"12-31","366",12,31,"TX300001"
2021-12-31,21956,22296,2021,"12-31","365",12,31,"TX300001"
