"","huc8","name","date","none","d0x","d1x","d2x","d3x","d4x"
"1","11080006","Upper Canadian-Ute Reservoir",2022-01-25,0,0,0,73.56,26.44,0
"2","11090101","Middle Canadian-Trujillo",2022-01-25,0,0,0,1.14,98.86,0
"3","11090102","Punta de Agua",2022-01-25,0,0,0,4.44,95.56,0
"4","11090103","Rita Blanca",2022-01-25,0,0,0,0,95.13,4.87
"5","11090104","Carrizo",2022-01-25,0,0,0,0,67.36,32.64
"6","11090105","Lake Meredith",2022-01-25,0,0,0,0,100,0
"7","11090106","Middle Canadian-Spring",2022-01-25,0,0,0,0,100,0
"8","11090201","Lower Canadian-Deer",2022-01-25,0,0,0,0.579999999999998,99.42,0
"9","11100101","Upper Beaver",2022-01-25,0,0,0,0,26.98,73.02
"10","11100102","Middle Beaver",2022-01-25,0,0,0,0,93.33,6.67
"11","11100103","Coldwater",2022-01-25,0,0,0,0,100,0
"12","11100104","Palo Duro",2022-01-25,0,0,0,0,100,0
"13","11100201","Lower Beaver",2022-01-25,0,0,0,0,100,0
"14","11100202","Upper Wolf",2022-01-25,0,0,0,0,100,0
"15","11100203","Lower Wolf",2022-01-25,0,0,0,0,100,0
"16","11120101","Tierra Blanca",2022-01-25,0,0,0,20.71,79.29,0
"17","11120102","Palo Duro",2022-01-25,0,0,0,0,100,0
"18","11120103","Upper Prairie Dog Town Fork Red",2022-01-25,0,0,0,42.66,57.34,0
"19","11120104","Tule",2022-01-25,0,0,0.930000000000007,58.33,40.74,0
"20","11120105","Lower Prairie Dog Town Fork Red",2022-01-25,0,0,0,7.09999999999999,92.9,0
"21","11120201","Upper Salt Fork Red",2022-01-25,0,0,0,0,100,0
"22","11120202","Lower Salt Fork Red",2022-01-25,0,0,0,0,100,0
"23","11120301","Upper North Fork Red",2022-01-25,0,0,0,0,100,0
"24","11120302","Middle North Fork Red",2022-01-25,0,0,0,0,100,0
"25","11120304","Elm Fork Red",2022-01-25,0,0,0,0,100,0
"26","11130101","Groesbeck-Sandy",2022-01-25,0,0,0,0,100,0
"27","11130102","Blue-China",2022-01-25,0,0,0,10.81,89.19,0
"28","11130103","North Pease",2022-01-25,0,0,0,46.47,53.53,0
"29","11130104","Middle Pease",2022-01-25,0,0,0,13.18,86.82,0
"30","11130105","Pease",2022-01-25,0,0,0,0.019999999999996,99.98,0
"31","11130201","Farmers-Mud",2022-01-25,0,0,0,10.86,89.14,0
"32","11130204","North Wichita",2022-01-25,0,0,0,2.19,97.81,0
"33","11130205","South Wichita",2022-01-25,0,0,0,24.22,75.78,0
"34","11130206","Wichita",2022-01-25,0,0,0,36.34,63.66,0
"35","11130207","Southern Beaver",2022-01-25,0,0,0,54.03,45.97,0
"36","11130209","Little Wichita",2022-01-25,0,0,0,68.97,31.03,0
"37","11130210","Lake Texoma",2022-01-25,0,0,0,46.08,53.92,0
