"site","julian","date2","mean_depth_ft","month","day_month","min","flow10","flow25","flow50","flow75","flow90","max","Nobs","startYr","endYr","date"
5758203,"1","2022-01-01",58.465,"Jan","01-01",58.44,58.46,58.6275,58.9,59.9375,65.08,75.885,11,2011,2022,"01-01"
5758203,"32","2022-02-01",58.465,"Feb","02-01",58.445,58.465,58.7162,58.875,60.0375,65.826,76.96,12,2011,2022,"02-01"
5758203,"60","2022-03-01",58.48,"Mar","03-01",58.46,58.476,58.81,58.895,61,69.564,78.12,9,2011,2022,"03-01"
5758203,"61",NA,NA,NA,NA,58.45,58.505,58.5875,58.725,59.2475,59.561,59.77,3,2011,2022,"03-02"
5758203,"91",NA,NA,NA,NA,58.48,58.7145,58.8562,59.31,63.945,73.4325,81.185,8,2011,2022,"04-01"
5758203,"92",NA,NA,NA,NA,58.455,58.492,58.5475,58.64,59.2075,59.548,59.775,3,2011,2022,"04-02"
5758203,"121",NA,NA,NA,NA,58.475,58.7235,58.8637,59.3125,64.0575,73.185,80.115,8,2011,2022,"05-01"
5758203,"122",NA,NA,NA,NA,58.46,58.487,58.5275,58.595,59.185,59.539,59.775,3,2011,2022,"05-02"
5758203,"152",NA,NA,NA,NA,58.48,58.7285,58.8763,59.32,64.6712,73.3,79.705,8,2011,2022,"06-01"
5758203,"153",NA,NA,NA,NA,58.465,58.499,58.55,58.635,59.2325,59.591,59.83,3,2011,2022,"06-02"
5758203,"182",NA,NA,NA,NA,58.475,58.7375,58.88,59.3225,65.1375,72.7635,75.035,8,2011,2022,"07-01"
5758203,"183",NA,NA,NA,NA,58.465,58.503,58.56,58.655,59.2725,59.643,59.89,3,2011,2022,"07-02"
5758203,"213",NA,NA,NA,NA,58.465,58.731,58.8825,59.3275,64.6525,70.0585,73.415,8,2011,2022,"08-01"
5758203,"214",NA,NA,NA,NA,58.465,58.508,58.5725,58.68,59.305,59.68,59.93,3,2011,2022,"08-02"
5758203,"244",NA,NA,NA,NA,58.47,58.7395,58.885,59.3675,63.87,67.335,73.705,8,2011,2022,"09-01"
5758203,"245",NA,NA,NA,NA,58.465,58.514,58.5875,58.71,59.335,59.71,59.96,3,2011,2022,"09-02"
5758203,"274",NA,NA,NA,NA,58.475,58.5275,58.7862,59.3275,61.7825,67.8515,75.17,8,2011,2022,"10-01"
5758203,"275",NA,NA,NA,NA,58.47,58.523,58.6025,58.735,59.355,59.727,59.975,3,2011,2022,"10-02"
5758203,"305",NA,NA,NA,NA,58.435,58.4595,58.7738,59.315,60.8512,67.8585,76.36,8,2011,2022,"11-01"
5758203,"306",NA,NA,NA,NA,58.465,58.521,58.605,58.745,59.3425,59.701,59.94,3,2011,2022,"11-02"
5758203,"335",NA,NA,NA,NA,58.435,58.4595,58.7775,59.06,61.0362,67.961,75.045,8,2011,2022,"12-01"
5758203,"336",NA,NA,NA,NA,58.46,58.522,58.615,58.77,59.45,59.858,60.13,3,2011,2022,"12-02"
5758402,"1","2022-01-01",184.67,"Jan","01-01",154.05,159.095,170.2763,176.325,180.0525,183.3375,184.67,16,2007,2022,"01-01"
5758402,"32","2022-02-01",184.01,"Feb","02-01",152.75,159.845,170.385,175.9575,180.0012,183.0375,184.01,16,2007,2022,"02-01"
5758402,"60","2022-03-01",184.915,"Mar","03-01",158.835,162.1155,170.0962,173.7775,181.8388,183.8975,184.915,12,2007,2022,"03-01"
5758402,"61",NA,NA,NA,NA,152.75,159.8825,170.5813,176.845,177.2375,177.368,177.455,4,2007,2022,"03-02"
5758402,"91",NA,NA,NA,NA,159.375,162.4,169.585,172.99,180.5575,182.235,184.765,11,2007,2022,"04-01"
5758402,"92",NA,NA,NA,NA,153.3,160.2915,170.7788,176.7075,176.88,177.006,177.09,4,2007,2022,"04-02"
5758402,"121",NA,NA,NA,NA,159.29,165.5,169.49,173.46,179.96,182.36,184.795,11,2007,2022,"05-01"
5758402,"122",NA,NA,NA,NA,153.7,160.3795,170.3988,176.61,177.3562,177.5385,177.66,4,2007,2022,"05-02"
5758402,"152",NA,NA,NA,NA,158.915,164.675,169.94,173.295,180.0575,182,184.17,11,2007,2022,"06-01"
