"site","julian","date","mean_depth_ft","status","colorStatus"
5758203,"1","2020-01-01",58.44,"Extremely Wet","navy"
5758203,"32","2020-02-01",58.445,"Extremely Wet","navy"
5758203,"61","2020-03-01",58.45,"Extremely Wet","navy"
5758203,"92","2020-04-01",58.455,"Extremely Wet","navy"
5758203,"122","2020-05-01",58.46,"Extremely Wet","navy"
5758203,"153","2020-06-01",58.465,"Extremely Wet","navy"
5758203,"183","2020-07-01",58.465,"Extremely Wet","navy"
5758203,"214","2020-08-01",58.465,"Extremely Wet","navy"
5758203,"245","2020-09-01",58.465,"Extremely Wet","navy"
5758203,"275","2020-10-01",58.47,"Extremely Wet","navy"
5758203,"306","2020-11-01",58.465,"Extremely Wet","navy"
5758203,"336","2020-12-01",58.46,"Extremely Wet","navy"
5758203,"1","2021-01-01",58.46,"Extremely Wet","navy"
5758203,"32","2021-02-01",58.465,"Extremely Wet","navy"
5758203,"60","2021-03-01",58.46,"Extremely Wet","navy"
5758203,"91","2021-04-01",58.48,"Extremely Wet","navy"
5758203,"121","2021-05-01",58.475,"Extremely Wet","navy"
5758203,"152","2021-06-01",58.48,"Extremely Wet","navy"
5758203,"182","2021-07-01",58.475,"Extremely Wet","navy"
5758203,"213","2021-08-01",58.465,"Extremely Wet","navy"
5758203,"244","2021-09-01",58.47,"Extremely Wet","navy"
5758203,"274","2021-10-01",58.475,"Extremely Wet","navy"
5758203,"305","2021-11-01",58.47,"Very Wet","blue"
5758203,"335","2021-12-01",58.47,"Very Wet","blue"
5758203,"1","2022-01-01",58.465,"Very Wet","blue"
5758203,"32","2022-02-01",58.465,"Extremely Wet","navy"
5758203,"60","2022-03-01",58.48,"Very Wet","blue"
5758402,"1","2020-01-01",177.41,"Moderately Dry","orange"
5758402,"32","2020-02-01",177.305,"Moderately Dry","orange"
5758402,"61","2020-03-01",177.165,"Moderately Dry","orange"
5758402,"92","2020-04-01",177.09,"Extremely Dry","darkred"
5758402,"122","2020-05-01",177.66,"Extremely Dry","darkred"
5758402,"153","2020-06-01",178.8,"Extremely Dry","darkred"
5758402,"183","2020-07-01",180.46,"Extremely Dry","darkred"
5758402,"214","2020-08-01",182.26,"Extremely Dry","darkred"
5758402,"245","2020-09-01",181.555,"Extremely Dry","darkred"
5758402,"275","2020-10-01",181.885,"Extremely Dry","darkred"
5758402,"306","2020-11-01",183.115,"Extremely Dry","darkred"
5758402,"336","2020-12-01",183.06,"Extremely Dry","darkred"
5758402,"1","2021-01-01",183.595,"Extremely Dry","darkred"
5758402,"32","2021-02-01",183.675,"Extremely Dry","darkred"
5758402,"60","2021-03-01",184.11,"Extremely Dry","darkred"
5758402,"91","2021-04-01",184.765,"Extremely Dry","darkred"
5758402,"121","2021-05-01",184.795,"Extremely Dry","darkred"
5758402,"152","2021-06-01",184.17,"Extremely Dry","darkred"
5758402,"182","2021-07-01",184.28,"Extremely Dry","darkred"
5758402,"213","2021-08-01",185.445,"Extremely Dry","darkred"
5758402,"244","2021-09-01",185.755,"Extremely Dry","darkred"
5758402,"274","2021-10-01",185.37,"Extremely Dry","darkred"
5758402,"305","2021-11-01",185.055,"Extremely Dry","darkred"
