"site","mean_depth_ft","month","year","julian"
5758203,59.08,2,2011,"32"
5758203,59.71,3,2011,"60"
5758203,59.725,4,2011,"91"
5758203,59.72,5,2011,"121"
5758203,59.735,6,2011,"152"
5758203,59.75,7,2011,"182"
5758203,59.755,8,2011,"213"
5758203,59.83,9,2011,"244"
5758203,59.755,10,2011,"274"
5758203,59.73,11,2011,"305"
5758203,59.74,12,2011,"335"
5758203,59.755,1,2012,"1"
5758203,59.77,2,2012,"32"
5758203,59.77,3,2012,"61"
5758203,59.775,4,2012,"92"
5758203,59.775,5,2012,"122"
5758203,59.83,6,2012,"153"
5758203,59.89,7,2012,"183"
5758203,59.93,8,2012,"214"
5758203,59.96,9,2012,"245"
5758203,59.975,10,2012,"275"
5758203,59.94,11,2012,"306"
5758203,60.13,12,2012,"336"
5758203,60.12,1,2013,"1"
5758203,60.84,2,2013,"32"
5758203,61,3,2013,"60"
5758203,61.89,4,2013,"91"
5758203,62.005,5,2013,"121"
5758203,62.71,6,2013,"152"
5758203,62.92,7,2013,"182"
5758203,63.33,8,2013,"213"
5758203,63.625,9,2013,"244"
5758203,64.715,10,2013,"274"
5758203,64.215,11,2013,"305"
5758203,64.925,12,2013,"335"
5758203,65.08,1,2014,"1"
5758203,66.38,2,2014,"32"
5758203,67.425,3,2014,"60"
5758203,70.11,4,2014,"91"
5758203,70.215,5,2014,"121"
5758203,70.555,6,2014,"152"
5758203,71.79,7,2014,"182"
5758203,73.415,8,2014,"213"
5758203,73.705,9,2014,"244"
5758203,75.17,10,2014,"274"
5758203,76.36,11,2014,"305"
5758203,75.045,12,2014,"335"
5758203,75.885,1,2015,"1"
5758203,76.96,2,2015,"32"
5758203,78.12,3,2015,"60"
5758203,81.185,4,2015,"91"
5758203,80.115,5,2015,"121"
5758203,79.705,6,2015,"152"
5758203,75.035,7,2015,"182"
5758203,68.62,8,2015,"213"
5758203,64.605,9,2015,"244"
5758203,60.805,10,2015,"274"
5758203,59.73,11,2015,"305"
5758203,59.235,12,2015,"335"
5758203,59.15,1,2016,"1"
5758203,58.855,2,2016,"32"
5758203,58.725,3,2016,"61"
5758203,58.64,4,2016,"92"
5758203,58.595,5,2016,"122"
5758203,58.635,6,2016,"153"
5758203,58.655,7,2016,"183"
5758203,58.68,8,2016,"214"
5758203,58.71,9,2016,"245"
5758203,58.735,10,2016,"275"
5758203,58.745,11,2016,"306"
5758203,58.77,12,2016,"336"
5758203,58.79,1,2017,"1"
