"site","year","medianDepth","nobsv"
"6803305",2016,210.35,4
"6803305",2017,236.38,23
"6803305",2018,246.74,24
"6803305",2019,228.08,24
"6803305",2020,248.745,24
"6803305",2021,244.625,24
"6803305",2022,261.975,24
"6803305",2023,260.585,6
"6804214",2012,216.77,4
"6804214",2013,208.265,24
"6804214",2014,224.2,23
"6804214",2015,170.865,24
"6804214",2016,132.17,24
"6804214",2017,190.95,23
"6804214",2018,204.595,24
"6804214",2019,156.12,24
"6804214",2020,171.59,24
"6804214",2021,172.945,24
"6804214",2022,174.86,24
"6804214",2023,176.455,6
"6804313",2007,121.85,8
"6804313",2008,143.35,24
"6804313",2009,156.8,23
"6804313",2010,131.605,24
"6804313",2011,153.2,23
"6804313",2012,159.7,23
"6804313",2013,162.7,24
"6804313",2014,165.33,23
"6804313",2015,144.2,24
"6804313",2016,130.75,24
"6804313",2017,138.2,23
"6804313",2018,155.35,24
"6804313",2019,133.85,24
"6804313",2020,151.55,24
"6804313",2021,160.55,24
"6804313",2022,169.65,24
"6804313",2023,174.9,6
"6804705",2005,178.83,5
"6804705",2006,179.17,23
"6804705",2007,183.315,24
"6804705",2008,178.9,24
"6804705",2009,179,23
"6804705",2010,185.75,24
"6804705",2011,188.25,23
"6804705",2012,188.68,23
"6804705",2013,188.685,24
"6804705",2014,189.38,23
"6804705",2015,188.645,24
"6804705",2016,187.1,24
"6804705",2017,188.1,23
"6804705",2018,189.565,24
"6804705",2019,187.975,24
"6804705",2020,189.64,24
"6804705",2021,189.965,24
"6804705",2022,190.37,24
"6804705",2023,190.335,6
"6804804",2011,85.815,20
"6804804",2012,84.65,23
"6804804",2013,86.23,24
"6804804",2014,85.83,23
"6804804",2015,71.015,24
"6804804",2016,69.2,24
"6804804",2017,76.47,23
"6804804",2018,84.31,24
"6804804",2019,69.995,24
"6804804",2020,81.88,24
"6804804",2021,71.925,24
"6804804",2022,84.125,24
"6804804",2023,89.255,6
"6804809",2005,71.83,5
"6804809",2006,73.25,23
"6804809",2007,66,24
"6804809",2008,72.3,24
"6804809",2009,73.2,23
"6804809",2010,67.7,24
"6804809",2011,72.6,23
"6804809",2012,71.1,23
"6804809",2013,71.975,24
"6804809",2014,72.44,23
"6804809",2015,69.77,24
"6804809",2016,67.54,24
"6804809",2017,71.08,23
"6804809",2018,71.61,24
"6804809",2019,69.99,24
"6804809",2020,71.44,24
"6804809",2021,69.725,24
"6804809",2022,72.985,24
"6804809",2023,73.15,6
"6810813",2004,434.31,9
"6810813",2005,437.93,24
"6810813",2006,494.58,24
"6810813",2007,482.21,24
"6810813",2008,494.35,24
"6810813",2009,508.4,23
"6810813",2010,524.9,23
"6810813",2011,548.95,24
"6810813",2012,555,23
"6810813",2013,555.13,24
"6810813",2014,525.53,23
"6810813",2015,505.655,24
"6810813",2016,508.17,24
"6810813",2017,517.95,23
"6810813",2018,526.785,24
"6810813",2019,519.615,24
"6810813",2020,519.5,23
"6810813",2021,511.05,24
"6810813",2022,513.3,24
"6810813",2023,493.05,6
"6811302",2005,169.92,5
"6811302",2006,169.17,23
