"date","depth_ft","site","julian"
2011-02-22,58.46,"5758203",53
2011-02-25,59.7,"5758203",56
2011-03-15,59.7,"5758203",74
2011-03-31,59.72,"5758203",90
2011-04-15,59.73,"5758203",105
2011-04-29,59.72,"5758203",119
2011-05-13,59.71,"5758203",133
2011-05-27,59.73,"5758203",147
2011-06-16,59.73,"5758203",167
2011-06-30,59.74,"5758203",181
2011-07-15,59.75,"5758203",196
2011-07-29,59.75,"5758203",210
2011-08-16,59.75,"5758203",228
2011-08-31,59.76,"5758203",243
2011-09-16,59.83,"5758203",259
2011-10-13,59.75,"5758203",286
2011-10-28,59.76,"5758203",301
2011-11-15,59.73,"5758203",319
2011-11-30,59.73,"5758203",334
2011-12-16,59.75,"5758203",350
2011-12-29,59.73,"5758203",363
2012-01-19,59.76,"5758203",19
2012-01-31,59.75,"5758203",31
2012-02-16,59.78,"5758203",47
2012-02-29,59.76,"5758203",60
2012-03-15,59.79,"5758203",75
2012-03-30,59.75,"5758203",90
2012-04-13,59.77,"5758203",104
2012-04-27,59.78,"5758203",118
2012-05-15,59.8,"5758203",136
2012-05-31,59.75,"5758203",152
2012-06-15,59.79,"5758203",167
2012-06-29,59.87,"5758203",181
2012-07-17,59.89,"5758203",199
2012-07-31,59.89,"5758203",213
2012-08-16,59.93,"5758203",229
2012-09-14,59.95,"5758203",258
2012-09-27,59.97,"5758203",271
2012-10-16,60.02,"5758203",290
2012-10-31,59.93,"5758203",305
2012-11-16,59.95,"5758203",321
2012-11-30,59.93,"5758203",335
2012-12-14,60.16,"5758203",349
2012-12-28,60.1,"5758203",363
2013-01-16,60.12,"5758203",16
2013-02-15,60.84,"5758203",46
2013-02-28,60.84,"5758203",59
2013-03-15,60.85,"5758203",74
2013-03-28,61.15,"5758203",87
2013-04-16,62.06,"5758203",106
2013-04-30,61.72,"5758203",120
2013-05-15,61.81,"5758203",135
2013-05-31,62.2,"5758203",151
2013-06-14,62.55,"5758203",165
2013-06-28,62.87,"5758203",179
2013-07-16,62.89,"5758203",197
2013-07-31,62.95,"5758203",212
2013-08-16,63.36,"5758203",228
2013-08-30,63.3,"5758203",242
2013-09-13,63.01,"5758203",256
2013-09-27,64.24,"5758203",270
2013-10-16,64.83,"5758203",289
2013-10-31,64.6,"5758203",304
2013-11-15,64.08,"5758203",319
2013-11-26,64.35,"5758203",330
2013-12-17,64.33,"5758203",351
2013-12-30,65.52,"5758203",364
2014-01-16,65.08,"5758203",16
2014-02-14,66.06,"5758203",45
2014-02-28,66.7,"5758203",59
2014-03-14,67.95,"5758203",73
2014-03-28,66.9,"5758203",87
2014-04-15,69.76,"5758203",105
2014-04-30,70.46,"5758203",120
2014-05-15,70.75,"5758203",135
2014-05-30,69.68,"5758203",150
2014-06-13,70.62,"5758203",164
2014-06-27,70.49,"5758203",178
2014-07-16,71.78,"5758203",197
2014-07-31,71.8,"5758203",212
2014-08-15,73.15,"5758203",227
2014-08-29,73.68,"5758203",241
2014-09-15,73.6,"5758203",258
2014-09-30,73.81,"5758203",273
2014-10-15,74.59,"5758203",288
2014-10-31,75.75,"5758203",304
2014-11-14,75.22,"5758203",318
2014-11-25,77.5,"5758203",329
2014-12-10,75.08,"5758203",344
2014-12-22,75.01,"5758203",356
2015-01-15,73.58,"5758203",15
2015-01-29,78.19,"5758203",29
2015-02-12,75.62,"5758203",43
2015-02-26,78.3,"5758203",57
2015-03-16,78.55,"5758203",75
2015-03-30,77.69,"5758203",89
2015-04-15,80.33,"5758203",105
2015-04-29,82.04,"5758203",119
2015-05-14,80.32,"5758203",134
2015-05-29,79.91,"5758203",149
2015-06-15,79.6,"5758203",166
2015-06-29,79.81,"5758203",180
2015-07-16,79.83,"5758203",197
2015-07-30,70.24,"5758203",211
2015-08-13,71.29,"5758203",225
2015-08-27,65.95,"5758203",239
2015-09-15,65.5,"5758203",258
2015-09-29,63.71,"5758203",272
2015-10-15,61.43,"5758203",288
2015-10-29,60.18,"5758203",302
2015-11-13,59.95,"5758203",317
2015-11-23,59.51,"5758203",327
2015-12-15,59.2,"5758203",349
2015-12-29,59.27,"5758203",363
2016-01-14,58.63,"5758203",14
2016-01-28,58.95,"5758203",28
2016-01-31,59.87,"5758203",31
