"date","elevation_at_waterlevel","site","year","julian"
2011-02-22,1928.54,5758203,2011,53
2011-02-25,1928.54,5758203,2011,56
2011-03-15,1927.3,5758203,2011,74
2011-03-31,1927.3,5758203,2011,90
2011-04-15,1927.28,5758203,2011,105
2011-04-29,1927.27,5758203,2011,119
2011-05-13,1927.28,5758203,2011,133
2011-05-27,1927.29,5758203,2011,147
2011-06-16,1927.27,5758203,2011,167
2011-06-30,1927.27,5758203,2011,181
2011-07-15,1927.26,5758203,2011,196
2011-07-29,1927.25,5758203,2011,210
2011-08-16,1927.25,5758203,2011,228
2011-08-31,1927.25,5758203,2011,243
2011-09-16,1927.24,5758203,2011,259
2011-10-13,1927.25,5758203,2011,286
2011-10-28,1927.25,5758203,2011,301
2011-11-15,1927.24,5758203,2011,319
2011-11-30,1927.27,5758203,2011,334
2011-12-16,1927.27,5758203,2011,350
2011-12-29,1927.25,5758203,2011,363
2012-01-19,1927.27,5758203,2012,19
2012-01-31,1927.24,5758203,2012,31
2012-02-16,1927.25,5758203,2012,47
2012-02-29,1927.22,5758203,2012,60
2012-03-15,1927.24,5758203,2012,75
2012-03-30,1927.21,5758203,2012,90
2012-04-13,1927.25,5758203,2012,104
2012-04-27,1927.23,5758203,2012,118
2012-05-15,1927.22,5758203,2012,136
2012-05-31,1927.2,5758203,2012,152
2012-06-15,1927.25,5758203,2012,167
2012-06-29,1927.21,5758203,2012,181
2012-07-17,1927.13,5758203,2012,199
2012-07-31,1927.11,5758203,2012,213
2012-08-16,1927.11,5758203,2012,229
2012-09-14,1927.05,5758203,2012,258
2012-09-27,1927.05,5758203,2012,271
2012-10-16,1927.03,5758203,2012,290
2012-10-31,1926.98,5758203,2012,305
2012-11-16,1927.07,5758203,2012,321
2012-11-30,1927.05,5758203,2012,335
2012-12-14,1927.07,5758203,2012,349
2012-12-28,1926.84,5758203,2012,363
2013-01-16,1926.88,5758203,2013,16
2013-02-15,1926.16,5758203,2013,46
2013-02-28,1926.16,5758203,2013,59
2013-03-15,1926.15,5758203,2013,74
2013-03-28,1925.85,5758203,2013,87
2013-04-16,1924.94,5758203,2013,106
2013-04-30,1925.28,5758203,2013,120
2013-05-15,1925.19,5758203,2013,135
2013-05-31,1924.8,5758203,2013,151
2013-06-14,1924.45,5758203,2013,165
2013-06-28,1924.13,5758203,2013,179
2013-07-16,1924.11,5758203,2013,197
2013-07-31,1924.05,5758203,2013,212
2013-08-16,1923.64,5758203,2013,228
2013-08-30,1923.7,5758203,2013,242
2013-09-13,1923.99,5758203,2013,256
2013-09-27,1922.76,5758203,2013,270
2013-10-16,1922.17,5758203,2013,289
2013-10-31,1922.4,5758203,2013,304
2013-11-15,1922.92,5758203,2013,319
2013-11-26,1922.65,5758203,2013,330
2013-12-17,1922.67,5758203,2013,351
2013-12-30,1921.48,5758203,2013,364
2014-01-16,1921.92,5758203,2014,16
2014-02-14,1920.94,5758203,2014,45
2014-02-28,1920.3,5758203,2014,59
2014-03-14,1919.05,5758203,2014,73
2014-03-28,1920.1,5758203,2014,87
2014-04-15,1917.24,5758203,2014,105
2014-04-30,1916.54,5758203,2014,120
2014-05-15,1916.25,5758203,2014,135
2014-05-30,1917.32,5758203,2014,150
2014-06-13,1916.38,5758203,2014,164
2014-06-27,1916.51,5758203,2014,178
2014-07-16,1915.22,5758203,2014,197
2014-07-31,1915.2,5758203,2014,212
2014-08-15,1913.85,5758203,2014,227
2014-08-29,1913.32,5758203,2014,241
2014-09-15,1913.4,5758203,2014,258
2014-09-30,1913.19,5758203,2014,273
2014-10-15,1912.41,5758203,2014,288
2014-10-31,1911.25,5758203,2014,304
2014-11-14,1911.78,5758203,2014,318
2014-11-25,1909.5,5758203,2014,329
2014-12-10,1911.92,5758203,2014,344
2014-12-22,1911.99,5758203,2014,356
2015-01-15,1913.42,5758203,2015,15
2015-01-29,1908.81,5758203,2015,29
2015-02-12,1911.38,5758203,2015,43
2015-02-26,1908.7,5758203,2015,57
2015-03-16,1908.45,5758203,2015,75
2015-03-30,1909.31,5758203,2015,89
2015-04-15,1906.67,5758203,2015,105
2015-04-29,1904.96,5758203,2015,119
2015-05-14,1906.68,5758203,2015,134
2015-05-29,1907.09,5758203,2015,149
2015-06-15,1907.4,5758203,2015,166
2015-06-29,1907.19,5758203,2015,180
2015-07-16,1907.17,5758203,2015,197
2015-07-30,1916.76,5758203,2015,211
2015-08-13,1915.71,5758203,2015,225
2015-08-27,1921.05,5758203,2015,239
2015-09-15,1921.5,5758203,2015,258
2015-09-29,1923.29,5758203,2015,272
2015-10-15,1925.57,5758203,2015,288
2015-10-29,1926.82,5758203,2015,302
2015-11-13,1927.05,5758203,2015,317
2015-11-23,1927.49,5758203,2015,327
2015-12-15,1927.8,5758203,2015,349
2015-12-29,1927.73,5758203,2015,363
2016-01-14,1928.37,5758203,2016,14
2016-01-28,1928.05,5758203,2016,28
2016-01-31,1927.13,5758203,2016,31
2016-02-11,1928.24,5758203,2016,42
2016-02-25,1928.05,5758203,2016,56
2016-03-15,1928.23,5758203,2016,75
2016-03-30,1928.32,5758203,2016,90
2016-04-14,1928.33,5758203,2016,105
2016-04-28,1928.39,5758203,2016,119
2016-05-16,1928.41,5758203,2016,137
2016-05-31,1928.4,5758203,2016,152
2016-06-15,1928.37,5758203,2016,167
2016-06-30,1928.36,5758203,2016,182
2016-07-13,1928.35,5758203,2016,195
2016-07-28,1928.34,5758203,2016,210
2016-08-16,1928.33,5758203,2016,229
2016-08-30,1928.31,5758203,2016,243
2016-09-15,1928.3,5758203,2016,259
2016-09-29,1928.28,5758203,2016,273
2016-10-13,1928.27,5758203,2016,287
2016-10-27,1928.26,5758203,2016,301
2016-11-16,1928.26,5758203,2016,321
2016-11-29,1928.25,5758203,2016,334
2016-12-15,1928.24,5758203,2016,350
2016-12-28,1928.22,5758203,2016,363
2017-01-17,1928.21,5758203,2017,17
2017-01-30,1928.21,5758203,2017,30
2017-02-15,1928.2,5758203,2017,46
2017-02-28,1928.2,5758203,2017,59
2017-03-15,1928.19,5758203,2017,74
2017-03-29,1928.19,5758203,2017,88
2017-04-12,1928.19,5758203,2017,102
2017-04-28,1928.18,5758203,2017,118
2017-05-15,1928.17,5758203,2017,135
2017-05-30,1928.17,5758203,2017,150
2017-06-15,1928.17,5758203,2017,166
2017-06-29,1928.16,5758203,2017,180
2017-07-27,1928.15,5758203,2017,208
2017-08-16,1928.16,5758203,2017,228
2017-08-30,1928.15,5758203,2017,242
2017-09-14,1928.15,5758203,2017,257
2017-09-28,1928.14,5758203,2017,271
2017-10-16,1928.13,5758203,2017,289
2017-10-30,1928.14,5758203,2017,303
2017-11-15,1928.13,5758203,2017,319
2017-11-29,1928.12,5758203,2017,333
2017-12-13,1928.12,5758203,2017,347
2017-12-27,1928.11,5758203,2017,361
2018-01-17,1928.1,5758203,2018,17
2018-01-31,1928.16,5758203,2018,31
2018-02-14,1928.14,5758203,2018,45
2018-02-28,1928.15,5758203,2018,59
2018-03-14,1928.14,5758203,2018,73
2018-03-28,1928.14,5758203,2018,87
2018-04-10,1928.13,5758203,2018,100
2018-04-25,1928.13,5758203,2018,115
2018-05-16,1928.13,5758203,2018,136
2018-05-30,1928.12,5758203,2018,150
2018-06-13,1928.11,5758203,2018,164
