"site","julian","date","depth_ft","min","flow10","flow25","flow50","flow75","flow90","max","Nobs","startYr","endYr","date2","month"
"6803305",13,"Jan-14",NA,234.45,234.45,234.45,234.45,234.45,234.45,234.45,1,2016,2023,2023-01-14,NA
"6803305",14,"Jan-15",NA,234.91,236.951,240.0125,245.115,250.2175,253.279,255.32,2,2016,2023,2023-01-15,NA
"6803305",16,"Jan-17",NA,229.75,229.75,229.75,229.75,229.75,229.75,229.75,1,2016,2023,2023-01-17,NA
"6803305",17,"Jan-18",259,206.96,212.164,219.97,232.98,245.99,253.796,259,2,2016,2023,2023-01-18,"Jan"
"6803305",18,"Jan-19",NA,236.9,236.9,236.9,236.9,236.9,236.9,236.9,1,2016,2023,2023-01-19,NA
"6803305",27,"Jan-28",NA,234.5,234.5,234.5,234.5,234.5,234.5,234.5,1,2016,2023,2023-01-28,NA
"6803305",28,"Jan-29",NA,256.19,256.19,256.19,256.19,256.19,256.19,256.19,1,2016,2023,2023-01-29,NA
"6803305",30,"Jan-31",260.25,206.05,212.455,222.0625,228.985,237.99,251.346,260.25,4,2016,2023,2023-01-31,"Jan"
"6803305",31,"Feb-01",NA,236.53,236.53,236.53,236.53,236.53,236.53,236.53,1,2016,2023,2023-02-01,NA
"6803305",42,"Feb-12",NA,234.48,235.884,237.99,241.5,245.01,247.116,248.52,2,2016,2023,2023-02-12,NA
"6803305",44,"Feb-14",NA,226.55,226.92,227.475,228.4,229.325,229.88,230.25,2,2016,2023,2023-02-14,NA
"6803305",45,"Feb-15",NA,238.63,238.63,238.63,238.63,238.63,238.63,238.63,1,2016,2023,2023-02-15,NA
"6803305",46,"Feb-16",260.38,205.1,210.628,218.92,232.74,246.56,254.852,260.38,2,2016,2023,2023-02-16,"Feb"
"6803305",56,"Feb-26",NA,250.38,250.38,250.38,250.38,250.38,250.38,250.38,1,2016,2023,2023-02-26,NA
"6803305",58,"Feb-28",260.79,226.5,227.42,228.8,231.1,245.945,254.852,260.79,3,2016,2023,2023-02-28,"Feb"
"6803305",59,"Mar-01",NA,204.44,210.758,220.235,236.03,236.765,237.206,237.5,3,2016,2023,2023-03-01,NA
"6803305",71,"Mar-13",NA,223.45,223.45,223.45,223.45,223.45,223.45,223.45,1,2016,2023,2023-03-13,NA
"6803305",73,"Mar-15",263.72,241.65,243.857,247.1675,252.685,258.2025,261.513,263.72,2,2016,2023,2023-03-15,"Mar"
"6803305",74,"Mar-16",NA,202.97,202.97,202.97,202.97,202.97,202.97,202.97,1,2016,2023,2023-03-16,NA
"6803305",75,"Mar-17",NA,236.45,237.202,238.33,240.21,242.09,243.218,243.97,2,2016,2023,2023-03-17,NA
"6803305",76,"Mar-18",NA,234.07,234.07,234.07,234.07,234.07,234.07,234.07,1,2016,2023,2023-03-18,NA
"6803305",87,"Mar-29",NA,225.52,226.888,228.94,232.36,235.78,237.832,239.2,2,2016,2023,2023-03-29,NA
"6803305",88,"Mar-30",263.65,203.8,209.785,218.7625,233.725,248.6875,257.665,263.65,2,2016,2023,2023-03-30,"Mar"
"6803305",89,"Mar-31",NA,243.35,243.469,243.6475,243.945,244.2425,244.421,244.54,2,2016,2023,2023-03-31,NA
"6803305",90,"Apr-01",NA,234.4,234.4,234.4,234.4,234.4,234.4,234.4,1,2016,2023,2023-04-01,NA
"6803305",100,"Apr-11",NA,239.43,239.43,239.43,239.43,239.43,239.43,239.43,1,2016,2023,2023-04-11,NA
"6803305",101,"Apr-12",NA,222.83,222.83,222.83,222.83,222.83,222.83,222.83,1,2016,2023,2023-04-12,NA
"6803305",102,"Apr-13",NA,219.66,219.66,219.66,219.66,219.66,219.66,219.66,1,2016,2023,2023-04-13,NA
"6803305",104,"Apr-15",NA,243.87,243.87,243.87,243.87,243.87,243.87,243.87,1,2016,2023,2023-04-15,NA
"6803305",105,"Apr-16",NA,244.71,244.71,244.71,244.71,244.71,244.71,244.71,1,2016,2023,2023-04-16,NA
"6803305",107,"Apr-18",NA,238.2,238.2,238.2,238.2,238.2,238.2,238.2,1,2016,2023,2023-04-18,NA
"6803305",115,"Apr-26",NA,246.55,246.55,246.55,246.55,246.55,246.55,246.55,1,2016,2023,2023-04-26,NA
"6803305",118,"Apr-29",NA,222.9,226.335,231.4875,240.075,248.6625,253.815,257.25,2,2016,2023,2023-04-29,NA
"6803305",119,"Apr-30",NA,244.88,244.88,244.88,244.88,244.88,244.88,244.88,1,2016,2023,2023-04-30,NA
"6803305",120,"May-01",NA,222.78,222.78,222.78,222.78,222.78,222.78,222.78,1,2016,2023,2023-05-01,NA
"6803305",121,"May-02",NA,239.05,239.05,239.05,239.05,239.05,239.05,239.05,1,2016,2023,2023-05-02,NA
"6803305",132,"May-13",NA,254.9,254.9,254.9,254.9,254.9,254.9,254.9,1,2016,2023,2023-05-13,NA
"6803305",133,"May-14",NA,243.5,243.5,243.5,243.5,243.5,243.5,243.5,1,2016,2023,2023-05-14,NA
"6803305",135,"May-16",NA,220.29,223.508,228.335,236.38,238.3,239.452,240.22,3,2016,2023,2023-05-16,NA
"6803305",136,"May-17",NA,245.67,245.67,245.67,245.67,245.67,245.67,245.67,1,2016,2023,2023-05-17,NA
"6803305",146,"May-27",NA,240.02,240.02,240.02,240.02,240.02,240.02,240.02,1,2016,2023,2023-05-27,NA
"6803305",147,"May-28",NA,260,260,260,260,260,260,260,1,2016,2023,2023-05-28,NA
"6803305",149,"May-30",NA,218.37,220.45,223.57,228.77,233.97,237.09,239.17,2,2016,2023,2023-05-30,NA
"6803305",150,"May-31",NA,229.8,232,235.3,240.8,246.3,249.6,251.8,2,2016,2023,2023-05-31,NA
"6803305",164,"Jun-14",NA,224.95,228.097,232.8175,240.685,248.5525,253.273,256.42,2,2016,2023,2023-06-14,NA
"6803305",166,"Jun-16",NA,235.5,235.5,235.5,235.5,235.5,235.5,235.5,1,2016,2023,2023-06-16,NA
"6803305",167,"Jun-17",NA,234.25,237.22,241.675,249.1,256.525,260.98,263.95,2,2016,2023,2023-06-17,NA
"6803305",168,"Jun-18",NA,241.96,241.96,241.96,241.96,241.96,241.96,241.96,1,2016,2023,2023-06-18,NA
"6803305",178,"Jun-28",NA,223.56,226.916,231.95,240.34,248.73,253.764,257.12,2,2016,2023,2023-06-28,NA
"6803305",180,"Jun-30",NA,232.12,234.562,238.225,244.33,259.465,268.546,274.6,3,2016,2023,2023-06-30,NA
"6803305",181,"Jul-01",NA,246,246,246,246,246,246,246,1,2016,2023,2023-07-01,NA
"6803305",195,"Jul-15",NA,275.03,275.03,275.03,275.03,275.03,275.03,275.03,1,2016,2023,2023-07-15,NA
