"site","julian","date","depth_ft","status","colorStatus"
"5758203",14,2021-01-14,58.46,"Moderately Dry","orange"
"5758203",28,2021-01-28,58.46,"Extremely Wet","navy"
"5758203",42,2021-02-11,58.47,"Extremely Wet","navy"
"5758203",56,2021-02-25,58.46,"Extremely Wet","navy"
"5758203",75,2021-03-16,58.45,"Extremely Wet","navy"
"5758203",89,2021-03-30,58.47,"Extremely Wet","navy"
"5758203",105,2021-04-15,58.48,"Extremely Wet","navy"
"5758203",119,2021-04-29,58.48,"Extremely Wet","navy"
"5758203",133,2021-05-13,58.47,"Extremely Wet","navy"
"5758203",146,2021-05-26,58.48,"Extremely Wet","navy"
"5758203",168,2021-06-17,58.48,"Extremely Wet","navy"
"5758203",180,2021-06-29,58.48,"Extremely Wet","navy"
"5758203",196,2021-07-15,58.48,"Extremely Wet","navy"
"5758203",210,2021-07-29,58.47,"Extremely Wet","navy"
"5758203",228,2021-08-16,58.47,"Extremely Wet","navy"
"5758203",242,2021-08-30,58.46,"Extremely Wet","navy"
"5758203",258,2021-09-15,58.47,"Extremely Wet","navy"
"5758203",273,2021-09-30,58.47,"Extremely Wet","navy"
"5758203",288,2021-10-15,58.48,"Extremely Wet","navy"
"5758203",301,2021-10-28,58.47,"Extremely Wet","navy"
"5758203",319,2021-11-15,58.47,"Extremely Wet","navy"
"5758203",334,2021-11-30,58.47,"Extremely Wet","navy"
"5758203",348,2021-12-14,58.47,"Extremely Wet","navy"
"5758203",362,2021-12-28,58.47,"Extremely Wet","navy"
"5758203",13,2022-01-13,58.46,"Extremely Wet","navy"
"5758203",27,2022-01-27,58.47,"Extremely Wet","navy"
"5758203",43,2022-02-12,58.46,"Extremely Wet","navy"
"5758203",59,2022-02-28,58.47,"Extremely Wet","navy"
"5758203",75,2022-03-16,58.47,"Very Wet","blue"
"5758203",89,2022-03-30,58.49,"Moderately Dry","orange"
"5758203",104,2022-04-14,58.46,"Extremely Wet","navy"
"5758203",118,2022-04-28,58.47,"Extremely Wet","navy"
"5758203",132,2022-05-12,58.47,"Extremely Wet","navy"
"5758203",147,2022-05-27,58.48,"Extremely Wet","navy"
"5758203",167,2022-06-16,58.51,"Very Wet","blue"
"5758203",180,2022-06-29,58.49,"Moderately Wet","cornflowerblue"
"5758203",195,2022-07-14,58.54,"Extremely Wet","navy"
"5758203",209,2022-07-28,58.56,"Extremely Wet","navy"
"5758203",228,2022-08-16,58.61,"Very Wet","blue"
"5758203",242,2022-08-30,58.67,"Moderately Wet","cornflowerblue"
"5758203",258,2022-09-15,58.65,"Very Wet","blue"
"5758203",272,2022-09-29,58.64,"Extremely Wet","navy"
"5758203",287,2022-10-14,58.74,"Extremely Dry","darkred"
"5758203",300,2022-10-27,58.83,"Extremely Wet","navy"
"5758203",319,2022-11-15,58.97,"Moderately Dry","orange"
"5758203",334,2022-11-30,59.25,"Moderately Dry","orange"
"5758203",348,2022-12-14,59.21,"Extremely Dry","darkred"
