"site","date","mean_depth_ft","month","year","julian"
"5758203","2011-02-01",59.08,2,2011,"32"
"5758203","2011-03-01",59.71,3,2011,"60"
"5758203","2011-04-01",59.725,4,2011,"91"
"5758203","2011-05-01",59.72,5,2011,"121"
"5758203","2011-06-01",59.735,6,2011,"152"
"5758203","2011-07-01",59.75,7,2011,"182"
"5758203","2011-08-01",59.755,8,2011,"213"
"5758203","2011-09-01",59.83,9,2011,"244"
"5758203","2011-10-01",59.755,10,2011,"274"
"5758203","2011-11-01",59.73,11,2011,"305"
"5758203","2011-12-01",59.74,12,2011,"335"
"5758203","2012-01-01",59.755,1,2012,"1"
"5758203","2012-02-01",59.77,2,2012,"32"
"5758203","2012-03-01",59.77,3,2012,"61"
"5758203","2012-04-01",59.775,4,2012,"92"
"5758203","2012-05-01",59.775,5,2012,"122"
"5758203","2012-06-01",59.83,6,2012,"153"
"5758203","2012-07-01",59.89,7,2012,"183"
"5758203","2012-08-01",59.93,8,2012,"214"
"5758203","2012-09-01",59.96,9,2012,"245"
"5758203","2012-10-01",59.975,10,2012,"275"
"5758203","2012-11-01",59.94,11,2012,"306"
"5758203","2012-12-01",60.13,12,2012,"336"
"5758203","2013-01-01",60.12,1,2013,"1"
"5758203","2013-02-01",60.84,2,2013,"32"
"5758203","2013-03-01",61,3,2013,"60"
"5758203","2013-04-01",61.89,4,2013,"91"
"5758203","2013-05-01",62.005,5,2013,"121"
"5758203","2013-06-01",62.71,6,2013,"152"
"5758203","2013-07-01",62.92,7,2013,"182"
"5758203","2013-08-01",63.33,8,2013,"213"
"5758203","2013-09-01",63.625,9,2013,"244"
"5758203","2013-10-01",64.715,10,2013,"274"
"5758203","2013-11-01",64.215,11,2013,"305"
"5758203","2013-12-01",64.925,12,2013,"335"
"5758203","2014-01-01",65.08,1,2014,"1"
"5758203","2014-02-01",66.38,2,2014,"32"
"5758203","2014-03-01",67.425,3,2014,"60"
"5758203","2014-04-01",70.11,4,2014,"91"
"5758203","2014-05-01",70.215,5,2014,"121"
"5758203","2014-06-01",70.555,6,2014,"152"
"5758203","2014-07-01",71.79,7,2014,"182"
"5758203","2014-08-01",73.415,8,2014,"213"
"5758203","2014-09-01",73.705,9,2014,"244"
"5758203","2014-10-01",75.17,10,2014,"274"
"5758203","2014-11-01",76.36,11,2014,"305"
"5758203","2014-12-01",75.045,12,2014,"335"
"5758203","2015-01-01",75.885,1,2015,"1"
"5758203","2015-02-01",76.96,2,2015,"32"
"5758203","2015-03-01",78.12,3,2015,"60"
"5758203","2015-04-01",81.185,4,2015,"91"
"5758203","2015-05-01",80.115,5,2015,"121"
"5758203","2015-06-01",79.705,6,2015,"152"
"5758203","2015-07-01",75.035,7,2015,"182"
"5758203","2015-08-01",68.62,8,2015,"213"
"5758203","2015-09-01",64.605,9,2015,"244"
"5758203","2015-10-01",60.805,10,2015,"274"
"5758203","2015-11-01",59.73,11,2015,"305"
"5758203","2015-12-01",59.235,12,2015,"335"
"5758203","2016-01-01",59.15,1,2016,"1"
"5758203","2016-02-01",58.855,2,2016,"32"
"5758203","2016-03-01",58.725,3,2016,"61"
"5758203","2016-04-01",58.64,4,2016,"92"
"5758203","2016-05-01",58.595,5,2016,"122"
"5758203","2016-06-01",58.635,6,2016,"153"
"5758203","2016-07-01",58.655,7,2016,"183"
"5758203","2016-08-01",58.68,8,2016,"214"
"5758203","2016-09-01",58.71,9,2016,"245"
"5758203","2016-10-01",58.735,10,2016,"275"
"5758203","2016-11-01",58.745,11,2016,"306"
"5758203","2016-12-01",58.77,12,2016,"336"
"5758203","2017-01-01",58.79,1,2017,"1"
"5758203","2017-02-01",58.8,2,2017,"32"
"5758203","2017-03-01",58.81,3,2017,"60"
"5758203","2017-04-01",58.815,4,2017,"91"
"5758203","2017-05-01",58.83,5,2017,"121"
"5758203","2017-06-01",58.835,6,2017,"152"
"5758203","2017-07-01",58.85,7,2017,"182"
"5758203","2017-08-01",58.845,8,2017,"213"
"5758203","2017-09-01",58.855,9,2017,"244"
"5758203","2017-10-01",58.865,10,2017,"274"
"5758203","2017-11-01",58.875,11,2017,"305"
"5758203","2017-12-01",58.885,12,2017,"335"
"5758203","2018-01-01",58.87,1,2018,"1"
"5758203","2018-02-01",58.855,2,2018,"32"
"5758203","2018-03-01",58.86,3,2018,"60"
"5758203","2018-04-01",58.87,4,2018,"91"
"5758203","2018-05-01",58.875,5,2018,"121"
"5758203","2018-06-01",58.89,6,2018,"152"
"5758203","2018-07-01",58.89,7,2018,"182"
"5758203","2018-08-01",58.9,8,2018,"213"
"5758203","2018-09-01",58.905,9,2018,"244"
"5758203","2018-10-01",58.9,10,2018,"274"
"5758203","2018-11-01",58.9,11,2018,"305"
"5758203","2018-12-01",58.88,12,2018,"335"
"5758203","2019-01-01",58.9,1,2019,"1"
"5758203","2019-02-01",58.895,2,2019,"32"
"5758203","2019-03-01",58.895,3,2019,"60"
"5758203","2019-04-01",58.895,4,2019,"91"
"5758203","2019-05-01",58.905,5,2019,"121"
"5758203","2019-06-01",58.905,6,2019,"152"
"5758203","2019-07-01",58.895,7,2019,"182"
"5758203","2019-08-01",58.895,8,2019,"213"
"5758203","2019-09-01",58.895,9,2019,"244"
"5758203","2019-10-01",58.55,10,2019,"274"
"5758203","2019-11-01",58.435,11,2019,"305"
"5758203","2019-12-01",58.435,12,2019,"335"
"5758203","2020-01-01",58.44,1,2020,"1"
"5758203","2020-02-01",58.445,2,2020,"32"
"5758203","2020-03-01",58.45,3,2020,"61"
"5758203","2020-04-01",58.455,4,2020,"92"
"5758203","2020-05-01",58.46,5,2020,"122"
"5758203","2020-06-01",58.465,6,2020,"153"
"5758203","2020-07-01",58.465,7,2020,"183"
"5758203","2020-08-01",58.465,8,2020,"214"
"5758203","2020-09-01",58.465,9,2020,"245"
"5758203","2020-10-01",58.47,10,2020,"275"
"5758203","2020-11-01",58.465,11,2020,"306"
"5758203","2020-12-01",58.46,12,2020,"336"
"5758203","2021-01-01",58.46,1,2021,"1"
"5758203","2021-02-01",58.465,2,2021,"32"
"5758203","2021-03-01",58.46,3,2021,"60"
"5758203","2021-04-01",58.48,4,2021,"91"
"5758203","2021-05-01",58.475,5,2021,"121"
"5758203","2021-06-01",58.48,6,2021,"152"
"5758203","2021-07-01",58.475,7,2021,"182"
"5758203","2021-08-01",58.465,8,2021,"213"
"5758203","2021-09-01",58.47,9,2021,"244"
"5758203","2021-10-01",58.475,10,2021,"274"
"5758203","2021-11-01",58.47,11,2021,"305"
"5758203","2021-12-01",58.47,12,2021,"335"
"5758203","2022-01-01",58.465,1,2022,"1"
"5758203","2022-02-01",58.465,2,2022,"32"
"5758203","2022-03-01",58.48,3,2022,"60"
"5758203","2022-04-01",58.465,4,2022,"91"
"5758203","2022-05-01",58.475,5,2022,"121"
"5758203","2022-06-01",58.5,6,2022,"152"
"5758203","2022-07-01",58.55,7,2022,"182"
"5758203","2022-08-01",58.64,8,2022,"213"
"5758203","2022-09-01",58.645,9,2022,"244"
"5758203","2022-10-01",58.785,10,2022,"274"
"5758203","2022-11-01",59.11,11,2022,"305"
"5758203","2022-12-01",59.035,12,2022,"335"
"5758203","2023-01-01",59.97,1,2023,"1"
"5758203","2023-02-01",59.9,2,2023,"32"
"5758203","2023-03-01",61.38,3,2023,"60"
"5758203","2023-04-01",61.745,4,2023,"91"
"5758203","2023-05-01",63.14,5,2023,"121"
"5758203","2023-06-01",64.675,6,2023,"152"
"5758402","2007-01-01",158.04,1,2007,"1"
"5758402","2007-02-01",159.29,2,2007,"32"
"5758402","2007-03-01",158.835,3,2007,"60"
"5758402","2007-04-01",159.375,4,2007,"91"
"5758402","2007-05-01",159.29,5,2007,"121"
"5758402","2007-06-01",158.915,6,2007,"152"
"5758402","2007-07-01",158.21,7,2007,"182"
"5758402","2007-08-01",157.4,8,2007,"213"
"5758402","2007-09-01",156.4,9,2007,"244"
"5758402","2007-10-01",156,10,2007,"274"
"5758402","2007-11-01",155.135,11,2007,"305"
"5758402","2007-12-01",153.8,12,2007,"335"
"5758402","2008-01-01",154.05,1,2008,"1"
"5758402","2008-02-01",152.75,2,2008,"32"
"5758402","2008-03-01",152.75,3,2008,"61"
"5758402","2008-04-01",153.3,4,2008,"92"
"5758402","2008-05-01",153.7,5,2008,"122"
"5758402","2008-06-01",155.1,6,2008,"153"
"5758402","2008-07-01",155.85,7,2008,"183"
"5758402","2008-08-01",156.3,8,2008,"214"
"5758402","2008-09-01",157.175,9,2008,"245"
"5758402","2008-10-01",157.8,10,2008,"275"
"5758402","2008-11-01",158,11,2008,"306"
"5758402","2008-12-01",158.866666666667,12,2008,"336"
"5758402","2009-01-01",160.15,1,2009,"1"
"5758402","2009-02-01",160.4,2,2009,"32"
"5758402","2009-03-01",161.45,3,2009,"60"
"5758402","2009-04-01",162.4,4,2009,"91"
"5758402","2009-05-01",165.5,5,2009,"121"
"5758402","2009-06-01",164.675,6,2009,"152"
"5758402","2009-07-01",166.675,7,2009,"182"
"5758402","2009-08-01",168.81,8,2009,"213"
"5758402","2009-09-01",169.295,9,2009,"244"
"5758402","2009-10-01",169.02,10,2009,"274"
