"location","dec_long_va","dec_lat_va","elevation","elevation_at_mp","total_depth","casing_diameter","casing_type","casing_depth","cemented","estimated_gpm","aquifer","strata","district_id","state_id","avg_level","median_level","low","high","range","yrs_in_service","current","month","year","long_va","lat_va","agency"
"City of Boerne",-98.718272,29.791575,1395,1398.42,357,12,"Steel","275","275","32","Middle Trinity","Kh",7834,6811708,1168.94357142857,1166.75,1108.84,1230.89,122.05,59.7618069815195,1167.28,1.30999999999995,11.3,984305.8,294729.6,"CCGCD"
"Ammann Ranch",-98.6748611111111,29.7863055555556,1389,1390.33,420,6.625,"PVC","200","200","20","Middle Trinity","Kh Kcc",5013,6811814,1159.00916666667,1156.4,1143.6,1189,45.4000000000001,14.7241615331964,1152.8,-1.60000000000014,0.099999999999909,984029.5,294710.7,"CCGCD"
"Micah",-98.6525277777778,29.8253333333333,1526,1528,560,5,"PVC","280","280","30","Middle Trinity","Kgrl Kh Kcc",6021,6811611,1199.13864457831,1198.475,1171.88,1233.3,61.4199999999998,13.9849418206708,1193.4,-4.19999999999982,6.23000000000002,983909.1,294931.2,"CCGCD"
"Coveney Ranch",-98.6038055555556,29.8190833333333,1462,1463.25,500,6.625,"PVC","258","258","17","Middle Trinity","Kgrl Kh Kcc",3281,6812413,1239.02389937107,1239,1183.17,1259.5,76.3299999999999,21.1745379876797,1241.8,-4.10000000000014,11.5999999999999,983613.7,294908.7,"CCGCD"
"Kendall Wood",-98.5772222222222,29.8097222222222,1374,1376,410,6.625,"PVC","200","200","5","Middle Trinity","Kgrl Kh Kcc",3473,6812507,1104.35310638298,1104,1076.92,1119,42.0799999999999,20.5941136208077,1103.22,-0.910000000000082,0.6099999999999,983438,294835,"CCGCD"
"Meadow Springs",-98.5644444444444,29.8216666666667,1346,1348.25,385,5.563,"PVC","298","298","20","Middle Trinity","Kcc",4739,6812509,1112.88205797102,1111.3,1093.04,1132.4,39.3600000000001,14.5544147843943,1110.21,-0.569999999999936,0.289999999999964,983352,294918,"CCGCD"
"Donop",-98.5438888888889,29.9961111111111,1477,1478.92,400,2.375,"PVC","400","250","20","Middle Trinity","Kh Kcc",7141,6804214,1295.73964285714,1303.175,1217.14,1399.11,181.97,9.37440109514031,1306.23,1.15000000000009,2.67000000000007,983238,295946,"CCGCD"
"Kendalia VFD",-98.5215833333333,29.9687777777778,1393,1394.42,350,6.625,"Steel","137","137","12","Middle Trinity","Kgrl Kh Kcc",767,6804313,1241.16997101449,1237.19,1194,1272,78,14.5544147843943,1230,-2.59999999999991,-0.799999999999955,983117.7,295807.6,"CCGCD"
"The Crossing MT",-98.556947,29.904392,1140,1141.5,140,7,"Steel","48","48","10","Middle Trinity","Kh Kcc",197,6804804,1062.19410646388,1058.41,1049.97,1085.5,35.53,11.0800821355236,1060.9,-1.37999999999988,5.49000000000001,NA,NA,"CCGCD"
"Waterstone 3351",-98.5572222222222,29.8891666666667,1121,1122.5,180,5,"PVC","65","65","5","Middle Trinity","Kcc",3740,6804809,1051.40824034335,1050.46,1040.9,1066.21,25.3099999999999,20.2683093771389,1049.38,0.920000000000073,0.790000000000191,983326,295321,"CCGCD"
"Rio Cordillera",-98.5986111111111,29.8545833333333,1234,1234.83,255,5,"PVC","255","140","4","Middle Trinity","Kh Kcc",3853,6812106,1137.49189473684,1135.3,1129.7,1169.08,39.3799999999999,20.766598220397,1133.68,-0.529999999999973,1.45000000000005,983555,295116.5,"CCGCD"
"Cordillera Trace",-98.6250555555556,29.8586388888889,1308,1309.33,295,6.625,"PVC","100","100","15","Middle Trinity","Kgrl Kh Kcc",3112,6811302,1143.15524625268,1142.8,1134,1165.53,31.53,20.6789869952088,1140.26,-3.02999999999997,-0.620000000000118,983730.2,295131.1,"CCGCD"
"High Point Ranch",-98.6390277777778,29.9793055555556,1520,1521.83,385,4.95,"PVC","385","245","15","Middle Trinity","Kgrl Kh Kcc",7656,6803305,1280.72069767442,1280.8,1252.9,1317.03,64.1299999999999,5.38261464750171,1276.65,-7.31999999999994,1.19000000000005,983820.5,295845.5,"CCGCD"
"River Mountain Ranch",-98.6204722222222,29.8963055555556,1290,1291.58,235,5.563,"PVC","178","178","12","Middle Trinity","Kh Kcc",3730,6804705,1099.4211820331,1100.8,1090.72,1106.67,15.95,17.8042436687201,1100.63,0.210000000000036,0.360000000000127,983713.7,295346.7,"CCGCD"
"Spring Creek",-98.695,29.8194444444444,1540,1541.5,440,5,"PVC","200","200","3","Middle Trinity","Kgrl Kh",3949,6811509,1228.46746781116,1225.41,1215.4,1262,46.5999999999999,20.0054757015743,1218.15,-1.57999999999993,1.16000000000008,984142,294910,"CCGCD"
"Diamond Ridge",-98.7938888888889,29.7521666666667,1640,1641.86,770,5,"Steel","540","540","12","Middle Trinity","Kgrl Kh Kcc",4609,6810813,1129.58587529976,1128.95,1066.25,1213.69,147.44,17.596167008898,1126.6,-15.3999999999999,-1.69999999999982,984738,294507.8,"CCGCD"
"Estancia",-98.7590833333333,29.7425555555556,1598,1599.33,620,5,"PVC","620","300","12","Middle Trinity","Kgrl Kh",5093,6810912,1149.33075362319,1149,1121.7,1168.44,46.74,14.5544147843943,1142.74,-1.00999999999999,-5.27999999999997,984532.7,294433.2,"CCGCD"
"KWU at Mission",-98.7601333333333,29.8099638888889,1527,1529,560,7,"Steel","230","230","75","Middle Trinity","Kgrl Kh Kcc",857,6810616,1124.53765578635,1122.35,1045.02,1282.2,237.18,36.7419575633128,1124.71,-26.9299999999998,6.32999999999993,984536.482,294835.876,"CCGCD"
"1658 Turkey Knob",-98.8866666666667,29.8366666666667,2001,2002.33,1018,3,"PVC","1018","281","N/A","Middle Trinity","Kgrl Kh Kcc",3863,6809303,1235.11145652174,1231.295,1175.66,1278,102.34,19.7645448323066,1213.69,-0.279999999999973,0.180000000000064,985312.6,295012.3,"CCGCD"
"Joshua Crossing",-98.8363888888889,29.9202777777778,1606,1608.67,580,5,"PVC","580","490","15","Middle Trinity","Kh Kcc",5318,6802407,1251.05979710145,1249.78,1215,1294.5,79.5,14.5544147843943,1236.1,-2.95000000000005,0.699999999999818,985011,295513,"CCGCD"
