"id","year","julian","pcp_in","date"
"USC00410902","2000",1,0,"Jan-02"
"USC00410902","2000",2,0,"Jan-03"
"USC00410902","2000",3,0,"Jan-04"
"USC00410902","2000",4,0,"Jan-05"
"USC00410902","2000",5,0,"Jan-06"
"USC00410902","2000",6,0,"Jan-07"
"USC00410902","2000",7,0,"Jan-08"
"USC00410902","2000",8,0.61,"Jan-09"
"USC00410902","2000",9,0.61,"Jan-10"
"USC00410902","2000",10,0.61,"Jan-11"
"USC00410902","2000",11,0.61,"Jan-12"
"USC00410902","2000",12,0.61,"Jan-13"
"USC00410902","2000",13,0.61,"Jan-14"
"USC00410902","2000",14,0.61,"Jan-15"
"USC00410902","2000",15,0.61,"Jan-16"
"USC00410902","2000",16,0.61,"Jan-17"
"USC00410902","2000",17,0.61,"Jan-18"
"USC00410902","2000",18,0.61,"Jan-19"
"USC00410902","2000",19,0.61,"Jan-20"
"USC00410902","2000",20,0.61,"Jan-21"
"USC00410902","2000",21,0.61,"Jan-22"
"USC00410902","2000",22,0.61,"Jan-23"
"USC00410902","2000",23,0.61,"Jan-24"
"USC00410902","2000",24,0.61,"Jan-25"
"USC00410902","2000",25,0.61,"Jan-26"
"USC00410902","2000",26,0.61,"Jan-27"
"USC00410902","2000",27,0.75,"Jan-28"
"USC00410902","2000",28,1.08,"Jan-29"
"USC00410902","2000",29,1.08,"Jan-30"
"USC00410902","2000",30,1.08,"Jan-31"
"USC00410902","2000",31,1.08,"Feb-01"
"USC00410902","2000",32,1.08,"Feb-02"
"USC00410902","2000",33,1.96,"Feb-03"
"USC00410902","2000",34,1.96,"Feb-04"
"USC00410902","2000",35,1.96,"Feb-05"
"USC00410902","2000",36,1.96,"Feb-06"
"USC00410902","2000",37,1.96,"Feb-07"
"USC00410902","2000",38,1.96,"Feb-08"
"USC00410902","2000",39,1.96,"Feb-09"
"USC00410902","2000",40,1.96,"Feb-10"
"USC00410902","2000",41,1.96,"Feb-11"
"USC00410902","2000",42,1.96,"Feb-12"
"USC00410902","2000",43,1.96,"Feb-13"
"USC00410902","2000",44,1.97,"Feb-14"
"USC00410902","2000",45,1.97,"Feb-15"
"USC00410902","2000",46,1.97,"Feb-16"
"USC00410902","2000",47,1.97,"Feb-17"
"USC00410902","2000",48,1.97,"Feb-18"
"USC00410902","2000",49,1.97,"Feb-19"
"USC00410902","2000",50,1.97,"Feb-20"
"USC00410902","2000",51,1.97,"Feb-21"
"USC00410902","2000",52,1.97,"Feb-22"
"USC00410902","2000",53,1.97,"Feb-23"
"USC00410902","2000",54,2.67,"Feb-24"
"USC00410902","2000",55,2.67,"Feb-25"
"USC00410902","2000",56,2.67,"Feb-26"
"USC00410902","2000",57,2.7,"Feb-27"
"USC00410902","2000",58,2.7,"Feb-28"
"USC00410902","2000",59,2.7,"Feb-29"
"USC00410902","2000",60,2.7,"Mar-01"
"USC00410902","2000",61,2.7,"Mar-02"
"USC00410902","2000",62,2.7,"Mar-03"
"USC00410902","2000",63,2.7,"Mar-04"
"USC00410902","2000",64,2.7,"Mar-05"
"USC00410902","2000",65,2.7,"Mar-06"
"USC00410902","2000",66,2.73,"Mar-07"
"USC00410902","2000",67,2.73,"Mar-08"
"USC00410902","2000",68,2.78,"Mar-09"
"USC00410902","2000",69,2.78,"Mar-10"
"USC00410902","2000",70,2.78,"Mar-11"
"USC00410902","2000",71,2.78,"Mar-12"
"USC00410902","2000",72,2.78,"Mar-13"
"USC00410902","2000",73,2.78,"Mar-14"
"USC00410902","2000",74,2.78,"Mar-15"
"USC00410902","2000",75,2.79,"Mar-16"
"USC00410902","2000",76,2.79,"Mar-17"
"USC00410902","2000",77,3.47,"Mar-18"
"USC00410902","2000",78,3.47,"Mar-19"
"USC00410902","2000",79,3.52,"Mar-20"
"USC00410902","2000",80,3.52,"Mar-21"
"USC00410902","2000",81,3.63,"Mar-22"
"USC00410902","2000",82,3.66,"Mar-23"
"USC00410902","2000",83,3.66,"Mar-24"
"USC00410902","2000",84,3.69,"Mar-25"
"USC00410902","2000",85,3.69,"Mar-26"
"USC00410902","2000",86,3.69,"Mar-27"
"USC00410902","2000",87,3.69,"Mar-28"
"USC00410902","2000",88,3.69,"Mar-29"
"USC00410902","2000",89,3.69,"Mar-30"
"USC00410902","2000",90,3.69,"Mar-31"
"USC00410902","2000",91,3.69,"Apr-01"
"USC00410902","2000",92,3.72,"Apr-02"
"USC00410902","2000",93,3.99,"Apr-03"
"USC00410902","2000",94,4.21,"Apr-04"
"USC00410902","2000",95,4.21,"Apr-05"
"USC00410902","2000",96,4.21,"Apr-06"
"USC00410902","2000",97,4.21,"Apr-07"
"USC00410902","2000",98,4.21,"Apr-08"
"USC00410902","2000",99,4.21,"Apr-09"
"USC00410902","2000",100,4.21,"Apr-10"
"USC00410902","2000",101,4.21,"Apr-11"
"USC00410902","2000",102,4.21,"Apr-12"
"USC00410902","2000",103,4.85,"Apr-13"
"USC00410902","2000",104,4.88,"Apr-14"
"USC00410902","2000",105,4.88,"Apr-15"
"USC00410902","2000",106,4.88,"Apr-16"
"USC00410902","2000",107,4.88,"Apr-17"
"USC00410902","2000",108,4.88,"Apr-18"
"USC00410902","2000",109,4.88,"Apr-19"
"USC00410902","2000",110,4.88,"Apr-20"
"USC00410902","2000",111,4.88,"Apr-21"
"USC00410902","2000",112,4.88,"Apr-22"
"USC00410902","2000",113,4.88,"Apr-23"
"USC00410902","2000",114,4.88,"Apr-24"
"USC00410902","2000",115,4.88,"Apr-25"
"USC00410902","2000",116,4.88,"Apr-26"
"USC00410902","2000",117,4.88,"Apr-27"
"USC00410902","2000",118,4.88,"Apr-28"
"USC00410902","2000",119,4.88,"Apr-29"
"USC00410902","2000",120,4.88,"Apr-30"
"USC00410902","2000",121,4.88,"May-01"
"USC00410902","2000",122,6.19,"May-02"
"USC00410902","2000",123,7.24,"May-03"
"USC00410902","2000",124,7.25,"May-04"
"USC00410902","2000",125,7.25,"May-05"
"USC00410902","2000",126,7.25,"May-06"
"USC00410902","2000",127,7.25,"May-07"
"USC00410902","2000",128,7.25,"May-08"
"USC00410902","2000",129,7.25,"May-09"
"USC00410902","2000",130,7.25,"May-10"
"USC00410902","2000",131,7.3,"May-11"
"USC00410902","2000",132,7.3,"May-12"
"USC00410902","2000",133,7.3,"May-13"
"USC00410902","2000",134,7.81,"May-14"
"USC00410902","2000",135,7.81,"May-15"
"USC00410902","2000",136,7.81,"May-16"
"USC00410902","2000",137,7.81,"May-17"
"USC00410902","2000",138,7.81,"May-18"
"USC00410902","2000",139,7.81,"May-19"
"USC00410902","2000",140,7.81,"May-20"
"USC00410902","2000",141,10.06,"May-21"
"USC00410902","2000",142,10.07,"May-22"
"USC00410902","2000",143,10.07,"May-23"
"USC00410902","2000",144,10.07,"May-24"
"USC00410902","2000",145,10.07,"May-25"
"USC00410902","2000",146,10.07,"May-26"
"USC00410902","2000",147,10.07,"May-27"
"USC00410902","2000",148,10.07,"May-28"
"USC00410902","2000",149,10.88,"May-29"
"USC00410902","2000",150,10.88,"May-30"
"USC00410902","2000",151,10.88,"May-31"
"USC00410902","2000",152,10.88,"Jun-01"
"USC00410902","2000",153,10.88,"Jun-02"
"USC00410902","2000",154,10.88,"Jun-03"
"USC00410902","2000",155,11.17,"Jun-04"
"USC00410902","2000",156,11.2,"Jun-05"
"USC00410902","2000",157,11.32,"Jun-06"
"USC00410902","2000",158,11.39,"Jun-07"
"USC00410902","2000",159,11.39,"Jun-08"
"USC00410902","2000",160,11.39,"Jun-09"
"USC00410902","2000",161,11.42,"Jun-10"
"USC00410902","2000",162,12.95,"Jun-11"
"USC00410902","2000",163,14.28,"Jun-12"
"USC00410902","2000",164,15.09,"Jun-13"
"USC00410902","2000",165,15.44,"Jun-14"
"USC00410902","2000",166,15.44,"Jun-15"
"USC00410902","2000",167,15.51,"Jun-16"
"USC00410902","2000",168,15.65,"Jun-17"
"USC00410902","2000",169,15.65,"Jun-18"
"USC00410902","2000",170,16,"Jun-19"
"USC00410902","2000",171,16.33,"Jun-20"
"USC00410902","2000",172,16.33,"Jun-21"
"USC00410902","2000",173,16.33,"Jun-22"
"USC00410902","2000",174,16.33,"Jun-23"
"USC00410902","2000",175,16.33,"Jun-24"
"USC00410902","2000",176,16.33,"Jun-25"
"USC00410902","2000",177,16.33,"Jun-26"
"USC00410902","2000",178,16.33,"Jun-27"
"USC00410902","2000",179,16.33,"Jun-28"
"USC00410902","2000",180,16.33,"Jun-29"
"USC00410902","2000",181,16.33,"Jun-30"
"USC00410902","2000",182,16.33,"Jul-01"
"USC00410902","2000",183,16.33,"Jul-02"
"USC00410902","2000",184,16.33,"Jul-03"
"USC00410902","2000",185,16.33,"Jul-04"
"USC00410902","2000",186,16.33,"Jul-05"
"USC00410902","2000",187,16.33,"Jul-06"
"USC00410902","2000",188,16.33,"Jul-07"
"USC00410902","2000",189,16.33,"Jul-08"
"USC00410902","2000",190,16.33,"Jul-09"
"USC00410902","2000",191,16.33,"Jul-10"
"USC00410902","2000",192,16.33,"Jul-11"
"USC00410902","2000",193,16.33,"Jul-12"
"USC00410902","2000",194,16.33,"Jul-13"
"USC00410902","2000",195,16.33,"Jul-14"
"USC00410902","2000",196,16.33,"Jul-15"
"USC00410902","2000",197,16.33,"Jul-16"
"USC00410902","2000",198,16.33,"Jul-17"
"USC00410902","2000",199,16.33,"Jul-18"
"USC00410902","2000",200,16.33,"Jul-19"
"USC00410902","2000",201,16.33,"Jul-20"
"USC00410902","2000",202,16.33,"Jul-21"
"USC00410902","2000",203,16.33,"Jul-22"
"USC00410902","2000",204,16.33,"Jul-23"
"USC00410902","2000",205,16.33,"Jul-24"
"USC00410902","2000",206,16.68,"Jul-25"
"USC00410902","2000",207,16.88,"Jul-26"
"USC00410902","2000",208,16.88,"Jul-27"
"USC00410902","2000",209,16.88,"Jul-28"
"USC00410902","2000",210,16.88,"Jul-29"
"USC00410902","2000",211,16.88,"Jul-30"
"USC00410902","2000",212,16.88,"Jul-31"
"USC00410902","2000",213,16.88,"Aug-01"
"USC00410902","2000",214,18.45,"Aug-02"
"USC00410902","2000",215,18.45,"Aug-03"
"USC00410902","2000",216,18.45,"Aug-04"
"USC00410902","2000",217,18.45,"Aug-05"
"USC00410902","2000",218,18.45,"Aug-06"
"USC00410902","2000",219,18.45,"Aug-07"
"USC00410902","2000",220,18.45,"Aug-08"
"USC00410902","2000",221,18.45,"Aug-09"
"USC00410902","2000",222,18.82,"Aug-10"
"USC00410902","2000",223,18.82,"Aug-11"
"USC00410902","2000",224,18.82,"Aug-12"
"USC00410902","2000",225,18.82,"Aug-13"
"USC00410902","2000",226,18.82,"Aug-14"
"USC00410902","2000",227,18.82,"Aug-15"
"USC00410902","2000",228,18.82,"Aug-16"
"USC00410902","2000",229,18.82,"Aug-17"
"USC00410902","2000",230,18.82,"Aug-18"
"USC00410902","2000",231,18.82,"Aug-19"
"USC00410902","2000",232,18.82,"Aug-20"
"USC00410902","2000",233,18.82,"Aug-21"
"USC00410902","2000",234,18.82,"Aug-22"
"USC00410902","2000",235,18.82,"Aug-23"
"USC00410902","2000",236,18.82,"Aug-24"
"USC00410902","2000",237,18.82,"Aug-25"
"USC00410902","2000",238,18.82,"Aug-26"
"USC00410902","2000",239,18.82,"Aug-27"
"USC00410902","2000",240,18.82,"Aug-28"
"USC00410902","2000",241,18.82,"Aug-29"
"USC00410902","2000",242,18.82,"Aug-30"
"USC00410902","2000",243,18.82,"Aug-31"
"USC00410902","2000",244,18.82,"Sep-01"
"USC00410902","2000",245,18.82,"Sep-02"
"USC00410902","2000",246,18.82,"Sep-03"
"USC00410902","2000",247,18.82,"Sep-04"
"USC00410902","2000",248,18.82,"Sep-05"
"USC00410902","2000",249,18.82,"Sep-06"
"USC00410902","2000",250,18.82,"Sep-07"
"USC00410902","2000",251,18.82,"Sep-08"
"USC00410902","2000",252,18.82,"Sep-09"
"USC00410902","2000",253,18.82,"Sep-10"
