"id","month","year","pcp_in","ndays"
"USC00410902",1,1990,1.3,31
"USC00410902",1,1991,4.17,31
"USC00410902",1,1992,4.6,31
"USC00410902",1,1993,2.64,31
"USC00410902",1,1994,2.78,31
"USC00410902",1,1995,0.32,31
"USC00410902",1,1996,0.03,31
"USC00410902",1,1997,1.74,31
"USC00410902",1,1998,2.35,31
"USC00410902",1,1999,0.05,31
"USC00410902",1,2000,1.08,31
"USC00410902",1,2001,4.68,31
"USC00410902",1,2002,0.6,31
"USC00410902",1,2003,1.3,31
"USC00410902",1,2004,3.18,31
"USC00410902",1,2005,2.73,31
"USC00410902",1,2006,0.75,31
"USC00410902",1,2007,6.7,31
"USC00410902",1,2008,0.49,31
"USC00410902",1,2009,0.66,31
"USC00410902",1,2010,4.46,31
"USC00410902",1,2011,1.66,31
"USC00410902",1,2012,1.71,31
"USC00410902",1,2013,3.27,31
"USC00410902",1,2014,0.13,31
"USC00410902",1,2015,4.36,31
"USC00410902",1,2016,1.11,31
"USC00410902",1,2017,3.3,31
"USC00410902",1,2018,0.62,31
"USC00410902",1,2019,1.74,31
"USC00410902",1,2020,3.51,31
"USC00410902",1,2021,1.59,31
"USC00410902",1,2022,0.54,31
"USC00410902",2,1990,2.28,28
"USC00410902",2,1991,2.32,28
"USC00410902",2,1992,7.77,29
"USC00410902",2,1993,2.55,28
"USC00410902",2,1994,2.96,28
"USC00410902",2,1995,1.03,28
"USC00410902",2,1996,0.27,29
"USC00410902",2,1997,5.83,28
"USC00410902",2,1998,6.86,28
"USC00410902",2,1999,0.03,28
"USC00410902",2,2000,1.62,29
"USC00410902",2,2001,2.08,28
"USC00410902",2,2002,0.71,28
"USC00410902",2,2003,4.06,28
"USC00410902",2,2004,3.18,29
"USC00410902",2,2005,3.7,28
"USC00410902",2,2006,0.84,28
"USC00410902",2,2007,0.04,28
"USC00410902",2,2008,0.27,29
"USC00410902",2,2009,0.26,28
"USC00410902",2,2010,5.15,28
"USC00410902",2,2011,0.53,28
"USC00410902",2,2012,3.23,29
"USC00410902",2,2013,0.19,28
"USC00410902",2,2014,0.45,28
"USC00410902",2,2015,0.9,28
"USC00410902",2,2016,0.98,29
"USC00410902",2,2017,2.83,28
"USC00410902",2,2018,2.2,28
"USC00410902",2,2019,0.68,28
"USC00410902",2,2020,2,29
"USC00410902",2,2021,1.46,28
"USC00410902",2,2022,0.64,28
"USC00410902",3,1990,6.53,31
"USC00410902",3,1991,1.45,31
"USC00410902",3,1992,5.91,31
"USC00410902",3,1993,2.25,31
"USC00410902",3,1994,4.97,31
"USC00410902",3,1995,2.04,31
"USC00410902",3,1996,1.33,31
"USC00410902",3,1997,3.44,31
"USC00410902",3,1998,6.93,31
"USC00410902",3,1999,3.32,31
"USC00410902",3,2000,0.99,31
"USC00410902",3,2001,3.34,31
"USC00410902",3,2002,2.18,31
"USC00410902",3,2003,1.51,31
"USC00410902",3,2004,2.43,31
"USC00410902",3,2005,2.44,31
"USC00410902",3,2006,2.35,31
"USC00410902",3,2007,10.34,31
"USC00410902",3,2008,1.76,31
"USC00410902",3,2009,2.62,31
"USC00410902",3,2010,1.9,31
"USC00410902",3,2011,0.01,31
"USC00410902",3,2012,4.18,31
"USC00410902",3,2013,0.64,31
"USC00410902",3,2014,0.65,31
"USC00410902",3,2015,2.89,31
"USC00410902",3,2016,3.64,31
"USC00410902",3,2017,1.67,31
"USC00410902",3,2018,2.76,31
"USC00410902",3,2019,0.66,31
"USC00410902",3,2020,2.02,31
"USC00410902",3,2021,1.51,31
"USC00410902",3,2022,NA,NA
"USC00410902",4,1990,4.66,30
"USC00410902",4,1991,3.5,30
"USC00410902",4,1992,1.75,30
"USC00410902",4,1993,2.8,30
"USC00410902",4,1994,2.92,30
"USC00410902",4,1995,2.63,30
"USC00410902",4,1996,1.6,30
"USC00410902",4,1997,6.63,30
"USC00410902",4,1998,0.57,30
"USC00410902",4,1999,1.5,30
"USC00410902",4,2000,1.19,30
"USC00410902",4,2001,1.51,30
"USC00410902",4,2002,2.03,30
"USC00410902",4,2003,0.22,30
"USC00410902",4,2004,9.47,30
"USC00410902",4,2005,1.06,30
"USC00410902",4,2006,2.85,30
"USC00410902",4,2007,1.58,30
"USC00410902",4,2008,0.68,30
"USC00410902",4,2009,2.29,30
"USC00410902",4,2010,3.12,30
"USC00410902",4,2011,0.17,30
"USC00410902",4,2012,0.11,30
"USC00410902",4,2013,2.29,30
"USC00410902",4,2014,0.44,30
"USC00410902",4,2015,4.22,30
"USC00410902",4,2016,6.63,30
"USC00410902",4,2017,3.52,30
"USC00410902",4,2018,0.88,30
"USC00410902",4,2019,4.59,30
"USC00410902",4,2020,2.01,30
"USC00410902",4,2021,1.32,30
"USC00410902",4,2022,NA,NA
"USC00410902",5,1990,2.6,31
"USC00410902",5,1991,4.43,31
"USC00410902",5,1992,12.53,31
"USC00410902",5,1993,3.34,31
"USC00410902",5,1994,6.3,31
"USC00410902",5,1995,7.88,31
"USC00410902",5,1996,4.1,31
"USC00410902",5,1997,5.92,31
"USC00410902",5,1998,0.75,31
"USC00410902",5,1999,2.35,31
"USC00410902",5,2000,6,31
"USC00410902",5,2001,4.55,31
"USC00410902",5,2002,3.62,31
"USC00410902",5,2003,0.13,31
"USC00410902",5,2004,2.05,31
"USC00410902",5,2005,4.74,31
"USC00410902",5,2006,3.56,31
"USC00410902",5,2007,10.23,31
"USC00410902",5,2008,1.58,31
"USC00410902",5,2009,3.25,31
"USC00410902",5,2010,5.75,31
"USC00410902",5,2011,1.23,31
"USC00410902",5,2012,3.95,31
"USC00410902",5,2013,6.28,31
"USC00410902",5,2014,8,31
"USC00410902",5,2015,15.97,31
"USC00410902",5,2016,8.32,31
"USC00410902",5,2017,2.34,31
"USC00410902",5,2018,3.48,31
"USC00410902",5,2019,4.7,31
"USC00410902",5,2020,9.73,31
"USC00410902",5,2021,12.32,31
"USC00410902",5,2022,NA,NA
"USC00410902",6,1990,0.09,30
"USC00410902",6,1991,4,30
"USC00410902",6,1992,7.15,30
"USC00410902",6,1993,3.25,30
"USC00410902",6,1994,2.46,30
"USC00410902",6,1995,4.06,30
"USC00410902",6,1996,2.54,30
"USC00410902",6,1997,16.48,30
"USC00410902",6,1998,3.22,30
"USC00410902",6,1999,4.77,30
"USC00410902",6,2000,5.45,30
"USC00410902",6,2001,0.31,30
"USC00410902",6,2002,2.22,30
"USC00410902",6,2003,6.53,30
"USC00410902",6,2004,8.61,30
"USC00410902",6,2005,1.68,30
"USC00410902",6,2006,2.68,30
"USC00410902",6,2007,7.34,30
"USC00410902",6,2008,0.46,30
"USC00410902",6,2009,0.86,30
"USC00410902",6,2010,2.03,30
"USC00410902",6,2011,1.12,30
"USC00410902",6,2012,1.15,30
"USC00410902",6,2013,1.74,30
"USC00410902",6,2014,2.14,30
"USC00410902",6,2015,4.41,30
"USC00410902",6,2016,4.49,30
"USC00410902",6,2017,2.3,30
"USC00410902",6,2018,0.45,30
"USC00410902",6,2019,6.72,30
"USC00410902",6,2020,1.8,30
"USC00410902",6,2021,3.4,30
"USC00410902",6,2022,NA,NA
"USC00410902",7,1990,11.56,31
"USC00410902",7,1991,0.82,31
"USC00410902",7,1992,4.85,31
"USC00410902",7,1993,0,31
"USC00410902",7,1994,0,31
"USC00410902",7,1995,1.06,31
"USC00410902",7,1996,0.29,31
"USC00410902",7,1997,0.31,31
"USC00410902",7,1998,1.12,31
"USC00410902",7,1999,3.3,31
"USC00410902",7,2000,0.55,31
"USC00410902",7,2001,0,31
"USC00410902",7,2002,28.36,31
"USC00410902",7,2003,5.73,31
"USC00410902",7,2004,1.53,31
"USC00410902",7,2005,1.97,31
"USC00410902",7,2006,1.27,31
"USC00410902",7,2007,9.51,31
"USC00410902",7,2008,2.18,31
"USC00410902",7,2009,1.32,31
"USC00410902",7,2010,4.99,31
"USC00410902",7,2011,0.31,31
"USC00410902",7,2012,2.33,31
"USC00410902",7,2013,1,31
"USC00410902",7,2014,2.57,31
"USC00410902",7,2015,0.59,31
"USC00410902",7,2016,0.51,31
"USC00410902",7,2017,0.99,31
"USC00410902",7,2018,5.42,31
"USC00410902",7,2019,0.49,31
"USC00410902",7,2020,0.71,31
"USC00410902",7,2021,6.1,31
"USC00410902",7,2022,NA,NA
"USC00410902",8,1990,2.38,31
"USC00410902",8,1991,1.84,31
"USC00410902",8,1992,4.51,31
"USC00410902",8,1993,0,31
"USC00410902",8,1994,0.74,31
"USC00410902",8,1995,2.12,31
"USC00410902",8,1996,3.2,31
"USC00410902",8,1997,2.5,31
"USC00410902",8,1998,6.98,31
"USC00410902",8,1999,0.68,31
"USC00410902",8,2000,1.94,31
"USC00410902",8,2001,14.61,31
"USC00410902",8,2002,1.22,31
"USC00410902",8,2003,1.29,31
"USC00410902",8,2004,7.49,31
"USC00410902",8,2005,3.68,31
"USC00410902",8,2006,0.72,31
"USC00410902",8,2007,7.76,31
"USC00410902",8,2008,4.99,31
"USC00410902",8,2009,0.58,31
"USC00410902",8,2010,0.19,31
"USC00410902",8,2011,0.03,31
"USC00410902",8,2012,2.03,31
"USC00410902",8,2013,0.58,31
"USC00410902",8,2014,0.85,31
"USC00410902",8,2015,0.69,31
"USC00410902",8,2016,4.87,31
"USC00410902",8,2017,3.01,31
"USC00410902",8,2018,1.19,31
"USC00410902",8,2019,0.59,31
"USC00410902",8,2020,2.34,31
"USC00410902",8,2021,3.63,31
"USC00410902",8,2022,NA,NA
"USC00410902",9,1990,3.87,30
"USC00410902",9,1991,5.13,30
"USC00410902",9,1992,3.67,30
"USC00410902",9,1993,2.84,30
"USC00410902",9,1994,3.19,30
"USC00410902",9,1995,4.1,30
"USC00410902",9,1996,3.54,30
"USC00410902",9,1997,0.61,30
"USC00410902",9,1998,2.43,30
"USC00410902",9,1999,0.21,30
"USC00410902",9,2000,1.93,30
"USC00410902",9,2001,4.7,30
"USC00410902",9,2002,7.46,30
"USC00410902",9,2003,3.57,30
"USC00410902",9,2004,2.8,30
"USC00410902",9,2005,0.51,30
"USC00410902",9,2006,2.47,30
"USC00410902",9,2007,2.82,30
"USC00410902",9,2008,0.09,30
"USC00410902",9,2009,5.23,30
"USC00410902",9,2010,11.97,30
"USC00410902",9,2011,1.89,30
"USC00410902",9,2012,7.75,30
"USC00410902",9,2013,5.95,30
"USC00410902",9,2014,4.73,30
"USC00410902",9,2015,0.5,30
"USC00410902",9,2016,2.32,30
"USC00410902",9,2017,3.51,30
"USC00410902",9,2018,14.11,30
"USC00410902",9,2019,0.48,30
"USC00410902",9,2020,5.63,30
"USC00410902",9,2021,3.39,30
"USC00410902",9,2022,NA,NA
"USC00410902",10,1990,3.14,31
"USC00410902",10,1991,1.24,31
"USC00410902",10,1992,1.4,31
"USC00410902",10,1993,2.28,31
"USC00410902",10,1994,8.31,31
"USC00410902",10,1995,0.47,31
"USC00410902",10,1996,1.41,31
"USC00410902",10,1997,3.87,31
"USC00410902",10,1998,8.51,31
"USC00410902",10,1999,1.85,31
"USC00410902",10,2000,15.07,31
"USC00410902",10,2001,4.68,31
"USC00410902",10,2002,8.18,31
"USC00410902",10,2003,2.85,31
"USC00410902",10,2004,6.68,31
"USC00410902",10,2005,1.42,31
"USC00410902",10,2006,2.49,31
"USC00410902",10,2007,NA,NA
"USC00410902",10,2008,1.54,31
"USC00410902",10,2009,10.28,31
"USC00410902",10,2010,0.51,31
"USC00410902",10,2011,4.36,31
"USC00410902",10,2012,2.75,31
"USC00410902",10,2013,2.8,31
"USC00410902",10,2014,2.98,31
"USC00410902",10,2015,8.83,31
"USC00410902",10,2016,0,31
"USC00410902",10,2017,0.42,31
"USC00410902",10,2018,5.94,31
"USC00410902",10,2019,3.49,31
"USC00410902",10,2020,0.28,31
"USC00410902",10,2021,4.32,31
"USC00410902",10,2022,NA,NA
"USC00410902",11,1990,3.37,30
"USC00410902",11,1991,1.99,30
"USC00410902",11,1992,7.12,30
"USC00410902",11,1993,0.9,30
"USC00410902",11,1994,2.22,30
"USC00410902",11,1995,3.62,30
"USC00410902",11,1996,3.44,30
