"id","month","year","pcp_in","ndays"
"CICT2",1,1990,NA,NA
"CICT2",1,1991,NA,NA
"CICT2",1,1992,NA,NA
"CICT2",1,1993,NA,NA
"CICT2",1,1994,NA,NA
"CICT2",1,1995,NA,NA
"CICT2",1,1996,NA,NA
"CICT2",1,1997,NA,NA
"CICT2",1,1998,NA,NA
"CICT2",1,1999,NA,NA
"CICT2",1,2000,NA,NA
"CICT2",1,2001,NA,NA
"CICT2",1,2002,NA,NA
"CICT2",1,2003,NA,NA
"CICT2",1,2004,NA,NA
"CICT2",1,2005,NA,NA
"CICT2",1,2006,NA,NA
"CICT2",1,2007,NA,NA
"CICT2",1,2008,NA,NA
"CICT2",1,2009,NA,NA
"CICT2",1,2010,NA,NA
"CICT2",1,2011,NA,NA
"CICT2",1,2012,NA,NA
"CICT2",1,2013,NA,NA
"CICT2",1,2014,NA,NA
"CICT2",1,2015,NA,NA
"CICT2",1,2016,NA,NA
"CICT2",1,2017,NA,NA
"CICT2",1,2018,NA,NA
"CICT2",1,2019,2.22,31
"CICT2",1,2020,3.28,31
"CICT2",1,2021,1.79,31
"CICT2",1,2022,NA,NA
"CICT2",1,2023,NA,NA
"CICT2",2,1990,NA,NA
"CICT2",2,1991,NA,NA
"CICT2",2,1992,NA,NA
"CICT2",2,1993,NA,NA
"CICT2",2,1994,NA,NA
"CICT2",2,1995,NA,NA
"CICT2",2,1996,NA,NA
"CICT2",2,1997,NA,NA
"CICT2",2,1998,NA,NA
"CICT2",2,1999,NA,NA
"CICT2",2,2000,NA,NA
"CICT2",2,2001,NA,NA
"CICT2",2,2002,NA,NA
"CICT2",2,2003,NA,NA
"CICT2",2,2004,NA,NA
"CICT2",2,2005,NA,NA
"CICT2",2,2006,NA,NA
"CICT2",2,2007,NA,NA
"CICT2",2,2008,NA,NA
"CICT2",2,2009,NA,NA
"CICT2",2,2010,NA,NA
"CICT2",2,2011,NA,NA
"CICT2",2,2012,NA,NA
"CICT2",2,2013,NA,NA
"CICT2",2,2014,NA,NA
"CICT2",2,2015,NA,NA
"CICT2",2,2016,NA,NA
"CICT2",2,2017,NA,NA
"CICT2",2,2018,NA,NA
"CICT2",2,2019,0.8,28
"CICT2",2,2020,1.59,29
"CICT2",2,2021,1.37,28
"CICT2",2,2022,NA,NA
"CICT2",2,2023,NA,NA
"CICT2",3,1990,NA,NA
"CICT2",3,1991,NA,NA
"CICT2",3,1992,NA,NA
"CICT2",3,1993,NA,NA
"CICT2",3,1994,NA,NA
"CICT2",3,1995,NA,NA
"CICT2",3,1996,NA,NA
"CICT2",3,1997,NA,NA
"CICT2",3,1998,NA,NA
"CICT2",3,1999,NA,NA
"CICT2",3,2000,NA,NA
"CICT2",3,2001,NA,NA
"CICT2",3,2002,NA,NA
"CICT2",3,2003,NA,NA
"CICT2",3,2004,NA,NA
"CICT2",3,2005,NA,NA
"CICT2",3,2006,NA,NA
"CICT2",3,2007,NA,NA
"CICT2",3,2008,NA,NA
"CICT2",3,2009,NA,NA
"CICT2",3,2010,NA,NA
"CICT2",3,2011,NA,NA
"CICT2",3,2012,NA,NA
"CICT2",3,2013,NA,14
"CICT2",3,2014,NA,NA
"CICT2",3,2015,NA,NA
"CICT2",3,2016,NA,NA
"CICT2",3,2017,NA,NA
"CICT2",3,2018,NA,NA
"CICT2",3,2019,0.51,31
"CICT2",3,2020,2.03,31
"CICT2",3,2021,1.16,31
"CICT2",3,2022,NA,NA
"CICT2",3,2023,NA,NA
"CICT2",4,1990,NA,NA
"CICT2",4,1991,NA,NA
"CICT2",4,1992,NA,NA
"CICT2",4,1993,NA,NA
"CICT2",4,1994,NA,NA
"CICT2",4,1995,NA,NA
"CICT2",4,1996,NA,NA
"CICT2",4,1997,NA,NA
"CICT2",4,1998,NA,NA
"CICT2",4,1999,NA,NA
"CICT2",4,2000,NA,NA
"CICT2",4,2001,NA,NA
"CICT2",4,2002,NA,NA
"CICT2",4,2003,NA,NA
"CICT2",4,2004,NA,NA
"CICT2",4,2005,NA,NA
"CICT2",4,2006,NA,NA
"CICT2",4,2007,NA,NA
"CICT2",4,2008,NA,NA
"CICT2",4,2009,NA,NA
"CICT2",4,2010,NA,NA
"CICT2",4,2011,NA,NA
"CICT2",4,2012,NA,NA
"CICT2",4,2013,0.41,30
"CICT2",4,2014,NA,NA
"CICT2",4,2015,NA,NA
"CICT2",4,2016,NA,NA
"CICT2",4,2017,NA,NA
"CICT2",4,2018,NA,NA
"CICT2",4,2019,1.55,30
"CICT2",4,2020,1.97,30
"CICT2",4,2021,1.39,30
"CICT2",4,2022,NA,NA
"CICT2",4,2023,NA,NA
"CICT2",5,1990,NA,NA
"CICT2",5,1991,NA,NA
"CICT2",5,1992,NA,NA
"CICT2",5,1993,NA,NA
"CICT2",5,1994,NA,NA
"CICT2",5,1995,NA,NA
"CICT2",5,1996,NA,NA
"CICT2",5,1997,NA,NA
"CICT2",5,1998,NA,NA
"CICT2",5,1999,NA,NA
"CICT2",5,2000,NA,NA
"CICT2",5,2001,NA,NA
"CICT2",5,2002,NA,NA
"CICT2",5,2003,NA,NA
"CICT2",5,2004,NA,NA
"CICT2",5,2005,NA,NA
"CICT2",5,2006,NA,NA
"CICT2",5,2007,NA,NA
"CICT2",5,2008,NA,NA
"CICT2",5,2009,NA,NA
"CICT2",5,2010,NA,NA
"CICT2",5,2011,NA,NA
"CICT2",5,2012,NA,NA
"CICT2",5,2013,0.46,30
"CICT2",5,2014,NA,NA
"CICT2",5,2015,NA,NA
"CICT2",5,2016,NA,NA
"CICT2",5,2017,NA,NA
"CICT2",5,2018,NA,NA
"CICT2",5,2019,0.34,31
"CICT2",5,2020,8.38,31
"CICT2",5,2021,12.7,31
"CICT2",5,2022,NA,NA
"CICT2",5,2023,NA,NA
"CICT2",6,1990,NA,NA
"CICT2",6,1991,NA,NA
"CICT2",6,1992,NA,NA
