"site_id","name","basin","county","latitude","longitude","stream_segment","date","sample_depth","flow_severity","pH","conductivity","dissolved_oxygen","air_temp","water_temp","ecoli_avg","secchi_disk_transparency","nitrate_nitrogen","year"
"12600","Canyon Lake Mid-Lake South Of Potter'S Creek Park @ West End Of Park","Guadalupe","Comal",29.89583,-98.2825,1805,"2018-08-13",0.2,"Normal",8,440,6.3,32,30,NA,0.3,NA,2018
"12600","Canyon Lake Mid-Lake South Of Potter'S Creek Park @ West End Of Park","Guadalupe","Comal",29.89583,-98.2825,1805,"2018-10-30",0.2,"High",7.8,580,8.4,24,23,10,0.4,NA,2018
"12600","Canyon Lake Mid-Lake South Of Potter'S Creek Park @ West End Of Park","Guadalupe","Comal",29.89583,-98.2825,1805,"2018-11-25",0.2,"High",NA,570,9.3,11,16,NA,0.4,NA,2018
"12600","Canyon Lake Mid-Lake South Of Potter'S Creek Park @ West End Of Park","Guadalupe","Comal",29.89583,-98.2825,1805,"2018-12-30",0.1,"High",7.9,450,9.8,6,11,40,0.5,NA,2018
"12600","Canyon Lake Mid-Lake South Of Potter'S Creek Park @ West End Of Park","Guadalupe","Comal",29.89583,-98.2825,1805,"2019-02-23",0.2,"Normal",7.8,550,9.1,18,18,10,0.4,NA,2019
"12600","Canyon Lake Mid-Lake South Of Potter'S Creek Park @ West End Of Park","Guadalupe","Comal",29.89583,-98.2825,1805,"2019-03-24",0.2,"Normal",7.8,520,9.1,25,22,60,0.4,NA,2019
"12600","Canyon Lake Mid-Lake South Of Potter'S Creek Park @ West End Of Park","Guadalupe","Comal",29.89583,-98.2825,1805,"2019-04-29",0.2,"Normal",7.9,500,8.4,24,25,10,0.3,NA,2019
"12600","Canyon Lake Mid-Lake South Of Potter'S Creek Park @ West End Of Park","Guadalupe","Comal",29.89583,-98.2825,1805,"2019-06-29",0.2,"High",5.8,500,8.2,27,27,NA,0.3,NA,2019
"12600","Canyon Lake Mid-Lake South Of Potter'S Creek Park @ West End Of Park","Guadalupe","Comal",29.89583,-98.2825,1805,"2019-06-29",0.2,NA,NA,NA,NA,NA,NA,20,NA,NA,2019
"12600","Canyon Lake Mid-Lake South Of Potter'S Creek Park @ West End Of Park","Guadalupe","Comal",29.89583,-98.2825,1805,"2019-08-09",0.3,"Normal",7.9,490,7.4,36,30,0,0.4,NA,2019
"12600","Canyon Lake Mid-Lake South Of Potter'S Creek Park @ West End Of Park","Guadalupe","Comal",29.89583,-98.2825,1805,"2019-10-29",0.8,"Low",7.9,510,8.9,14,17,40,0.2,NA,2019
"12600","Canyon Lake Mid-Lake South Of Potter'S Creek Park @ West End Of Park","Guadalupe","Comal",29.89583,-98.2825,1805,"2019-11-25",0.1,"Normal",7.9,550,9.8,24,19,20,0.2,NA,2019
"12600","Canyon Lake Mid-Lake South Of Potter'S Creek Park @ West End Of Park","Guadalupe","Comal",29.89583,-98.2825,1805,"2019-12-30",0.2,"Low",NA,560,11.1,13,14,30,NA,NA,2019
"12600","Canyon Lake Mid-Lake South Of Potter'S Creek Park @ West End Of Park","Guadalupe","Comal",29.89583,-98.2825,1805,"2020-02-24",0.2,"Normal",7.9,540,9.9,19,16.5,0,2.5,NA,2020
"12600","Canyon Lake Mid-Lake South Of Potter'S Creek Park @ West End Of Park","Guadalupe","Comal",29.89583,-98.2825,1805,"2020-06-25",2,"Normal",7.9,450,8,30,29,10,0.3,NA,2020
"12600","Canyon Lake Mid-Lake South Of Potter'S Creek Park @ West End Of Park","Guadalupe","Comal",29.89583,-98.2825,1805,"2020-08-27",0.2,"Low",8,410,6.4,35,32,20,0.3,NA,2020
"12600","Canyon Lake Mid-Lake South Of Potter'S Creek Park @ West End Of Park","Guadalupe","Comal",29.89583,-98.2825,1805,"2020-09-28",0.2,"Normal",8,440,8.5,23,25,10,0.4,NA,2020
"12600","Canyon Lake Mid-Lake South Of Potter'S Creek Park @ West End Of Park","Guadalupe","Comal",29.89583,-98.2825,1805,"2020-10-30",0.3,"No flow",NA,NA,NA,NA,NA,20,NA,NA,2020
"12600","Canyon Lake Mid-Lake South Of Potter'S Creek Park @ West End Of Park","Guadalupe","Comal",29.89583,-98.2825,1805,"2020-10-30",0.3,"Low",8.2,480,9.75,16.18,16.5,NA,0.35,NA,2020
"12600","Canyon Lake Mid-Lake South Of Potter'S Creek Park @ West End Of Park","Guadalupe","Comal",29.89583,-98.2825,1805,"2020-11-30",0.2,"Normal",8,470,10.2,11,13,NA,0.3,NA,2020
"12600","Canyon Lake Mid-Lake South Of Potter'S Creek Park @ West End Of Park","Guadalupe","Comal",29.89583,-98.2825,1805,"2020-11-30",0.2,"Normal",NA,NA,NA,NA,NA,20,NA,NA,2020
"12600","Canyon Lake Mid-Lake South Of Potter'S Creek Park @ West End Of Park","Guadalupe","Comal",29.89583,-98.2825,1805,"2020-12-06",0.3,"Low",NA,NA,NA,NA,NA,20,NA,NA,2020
"12600","Canyon Lake Mid-Lake South Of Potter'S Creek Park @ West End Of Park","Guadalupe","Comal",29.89583,-98.2825,1805,"2020-12-28",0.3,"Normal",NA,NA,NA,NA,NA,0,NA,NA,2020
"12600","Canyon Lake Mid-Lake South Of Potter'S Creek Park @ West End Of Park","Guadalupe","Comal",29.89583,-98.2825,1805,"2020-12-28",0.3,"Normal",8,490,9.2,20,15,NA,0.3,NA,2020
"12600","Canyon Lake Mid-Lake South Of Potter'S Creek Park @ West End Of Park","Guadalupe","Comal",29.89583,-98.2825,1805,"2021-01-29",0.2,"Normal",8,480,10.2,19,15,NA,0.3,NA,2021
"12600","Canyon Lake Mid-Lake South Of Potter'S Creek Park @ West End Of Park","Guadalupe","Comal",29.89583,-98.2825,1805,"2021-01-29",0.2,"Normal",NA,NA,NA,NA,NA,0,NA,NA,2021
