"date","elev_Ft","storage_AF","fstorage_AF","locid","district","NIDID","name"
2020-06-23,537.67,43814,43814,"143048","SWF","TX08004","Aquilla Lake"
2020-06-24,537.67,43817,43817,"143048","SWF","TX08004","Aquilla Lake"
2020-06-25,537.66,43786,43786,"143048","SWF","TX08004","Aquilla Lake"
2020-06-26,537.63,43706,43706,"143048","SWF","TX08004","Aquilla Lake"
2020-06-27,537.6,43587,43587,"143048","SWF","TX08004","Aquilla Lake"
2020-06-28,537.56,43468,43468,"143048","SWF","TX08004","Aquilla Lake"
2020-06-29,537.52,43346,43346,"143048","SWF","TX08004","Aquilla Lake"
2020-06-30,537.48,43237,43237,"143048","SWF","TX08004","Aquilla Lake"
2020-07-01,537.46,43181,43181,"143048","SWF","TX08004","Aquilla Lake"
2020-07-02,537.45,43152,43152,"143048","SWF","TX08004","Aquilla Lake"
2020-07-03,537.44,43106,43106,"143048","SWF","TX08004","Aquilla Lake"
2020-07-04,537.42,43034,43034,"143048","SWF","TX08004","Aquilla Lake"
2020-07-05,537.39,42958,42958,"143048","SWF","TX08004","Aquilla Lake"
2020-07-06,537.37,42900,42900,"143048","SWF","TX08004","Aquilla Lake"
2020-07-07,537.4,42971,42971,"143048","SWF","TX08004","Aquilla Lake"
2020-07-08,538.26,45672,45672,"143048","SWF","TX08004","Aquilla Lake"
2020-07-09,538.32,45847,45847,"143048","SWF","TX08004","Aquilla Lake"
2020-07-10,538.26,45682,45682,"143048","SWF","TX08004","Aquilla Lake"
2020-07-11,538.2,45490,45490,"143048","SWF","TX08004","Aquilla Lake"
2020-07-12,538.14,45275,45275,"143048","SWF","TX08004","Aquilla Lake"
2020-07-13,538.06,45014,45014,"143048","SWF","TX08004","Aquilla Lake"
2020-07-14,537.96,44717,44717,"143048","SWF","TX08004","Aquilla Lake"
2020-07-15,537.86,44422,44422,"143048","SWF","TX08004","Aquilla Lake"
2020-07-16,537.82,44294,44294,"143048","SWF","TX08004","Aquilla Lake"
2020-07-17,537.8,44228,44228,"143048","SWF","TX08004","Aquilla Lake"
2020-07-18,537.78,44162,44162,"143048","SWF","TX08004","Aquilla Lake"
2020-07-19,537.74,44016,44016,"143048","SWF","TX08004","Aquilla Lake"
2020-07-20,537.7,43913,43913,"143048","SWF","TX08004","Aquilla Lake"
2020-07-21,537.67,43815,43815,"143048","SWF","TX08004","Aquilla Lake"
2020-07-22,537.64,43728,43728,"143048","SWF","TX08004","Aquilla Lake"
2020-07-23,537.62,43648,43648,"143048","SWF","TX08004","Aquilla Lake"
2020-07-24,537.59,43572,43572,"143048","SWF","TX08004","Aquilla Lake"
2020-07-25,537.56,43464,43464,"143048","SWF","TX08004","Aquilla Lake"
2020-07-26,537.52,43361,43361,"143048","SWF","TX08004","Aquilla Lake"
2020-07-27,537.49,43264,43264,"143048","SWF","TX08004","Aquilla Lake"
2020-07-28,537.46,43184,43184,"143048","SWF","TX08004","Aquilla Lake"
2020-07-29,537.44,43100,43100,"143048","SWF","TX08004","Aquilla Lake"
2020-07-30,537.41,43002,43002,"143048","SWF","TX08004","Aquilla Lake"
2020-07-31,537.37,42902,42902,"143048","SWF","TX08004","Aquilla Lake"
2020-08-01,537.34,42814,42814,"143048","SWF","TX08004","Aquilla Lake"
2020-08-02,537.32,42744,42744,"143048","SWF","TX08004","Aquilla Lake"
2020-08-03,537.29,42638,42638,"143048","SWF","TX08004","Aquilla Lake"
2020-08-04,537.26,42560,42560,"143048","SWF","TX08004","Aquilla Lake"
2020-08-05,537.23,42452,42452,"143048","SWF","TX08004","Aquilla Lake"
2020-08-06,537.19,42330,42330,"143048","SWF","TX08004","Aquilla Lake"
2020-08-07,537.15,42214,42214,"143048","SWF","TX08004","Aquilla Lake"
2020-08-08,537.12,42108,42108,"143048","SWF","TX08004","Aquilla Lake"
2020-08-09,537.08,42012,42012,"143048","SWF","TX08004","Aquilla Lake"
2020-08-10,537.04,41881,41881,"143048","SWF","TX08004","Aquilla Lake"
2020-08-11,537,41754,41754,"143048","SWF","TX08004","Aquilla Lake"
2020-08-12,536.96,41649,41649,"143048","SWF","TX08004","Aquilla Lake"
2020-08-13,536.93,41539,41539,"143048","SWF","TX08004","Aquilla Lake"
2020-08-14,536.89,41428,41428,"143048","SWF","TX08004","Aquilla Lake"
2020-08-15,536.85,41318,41318,"143048","SWF","TX08004","Aquilla Lake"
2020-08-16,536.84,41266,41266,"143048","SWF","TX08004","Aquilla Lake"
2020-08-17,536.83,41252,41252,"143048","SWF","TX08004","Aquilla Lake"
2020-08-18,536.82,41216,41216,"143048","SWF","TX08004","Aquilla Lake"
2020-08-19,536.78,41108,41108,"143048","SWF","TX08004","Aquilla Lake"
2020-08-20,536.74,40986,40986,"143048","SWF","TX08004","Aquilla Lake"
2020-08-21,536.71,40881,40881,"143048","SWF","TX08004","Aquilla Lake"
2020-08-22,536.68,40796,40796,"143048","SWF","TX08004","Aquilla Lake"
2020-08-23,536.64,40696,40696,"143048","SWF","TX08004","Aquilla Lake"
2020-08-24,536.61,40602,40602,"143048","SWF","TX08004","Aquilla Lake"
2020-08-25,536.59,40540,40540,"143048","SWF","TX08004","Aquilla Lake"
2020-08-26,536.56,40447,40447,"143048","SWF","TX08004","Aquilla Lake"
2020-08-27,536.53,40358,40358,"143048","SWF","TX08004","Aquilla Lake"
2020-08-28,536.49,40246,40246,"143048","SWF","TX08004","Aquilla Lake"
2020-08-29,536.46,40150,40150,"143048","SWF","TX08004","Aquilla Lake"
2020-08-30,536.43,40062,40062,"143048","SWF","TX08004","Aquilla Lake"
2020-08-31,536.38,39916,39916,"143048","SWF","TX08004","Aquilla Lake"
2020-09-01,536.34,39795,39795,"143048","SWF","TX08004","Aquilla Lake"
2020-09-02,536.56,40432,40432,"143048","SWF","TX08004","Aquilla Lake"
2020-09-03,536.62,40625,40625,"143048","SWF","TX08004","Aquilla Lake"
2020-09-04,536.85,41306,41306,"143048","SWF","TX08004","Aquilla Lake"
2020-09-05,537.22,42422,42422,"143048","SWF","TX08004","Aquilla Lake"
2020-09-06,537.26,42548,42548,"143048","SWF","TX08004","Aquilla Lake"
2020-09-07,537.26,42542,42542,"143048","SWF","TX08004","Aquilla Lake"
2020-09-08,537.24,42474,42474,"143048","SWF","TX08004","Aquilla Lake"
2020-09-09,537.22,42420,42420,"143048","SWF","TX08004","Aquilla Lake"
2020-09-10,537.39,42954,42954,"143048","SWF","TX08004","Aquilla Lake"
2020-09-11,537.38,42936,42936,"143048","SWF","TX08004","Aquilla Lake"
2020-09-12,537.37,42904,42904,"143048","SWF","TX08004","Aquilla Lake"
2020-09-13,537.36,42866,42866,"143048","SWF","TX08004","Aquilla Lake"
2020-09-14,537.35,42830,42830,"143048","SWF","TX08004","Aquilla Lake"
2020-09-15,537.34,42784,42784,"143048","SWF","TX08004","Aquilla Lake"
2020-09-16,537.31,42720,42720,"143048","SWF","TX08004","Aquilla Lake"
2020-09-17,537.3,42667,42667,"143048","SWF","TX08004","Aquilla Lake"
2020-09-18,537.28,42614,42614,"143048","SWF","TX08004","Aquilla Lake"
2020-09-19,537.26,42541,42541,"143048","SWF","TX08004","Aquilla Lake"
2020-09-20,537.23,42456,42456,"143048","SWF","TX08004","Aquilla Lake"
2020-09-21,537.2,42374,42374,"143048","SWF","TX08004","Aquilla Lake"
2020-09-22,537.22,42442,42442,"143048","SWF","TX08004","Aquilla Lake"
2020-09-23,537.22,42442,42442,"143048","SWF","TX08004","Aquilla Lake"
