"site","julian","Nobs","min","flow10","flow25","flow50","flow75","flow90","max","startYr","endYr","date2","date","flow","month","status","colorStatus"
"TX00004",1,33,75.47,80.898,89.01,97.51,100.39,101.244,149.11,1990,2023,2022-01-01,"01-01",99.43,"Jan","Moderately Wet","cornflowerblue"
"TX00004",2,33,75.5,80.89,88.98,97.47,100.39,101.176,147.98,1990,2023,2022-01-02,"01-02",99.45,"Jan","Moderately Wet","cornflowerblue"
"TX00004",3,33,75.58,80.934,88.95,97.45,100.32,101.186,146.75,1990,2023,2022-01-03,"01-03",99.32,"Jan","Moderately Wet","cornflowerblue"
"TX00004",4,33,75.54,80.914,88.92,97.47,100.32,101.03,145.42,1990,2023,2022-01-04,"01-04",99.21,"Jan","Moderately Wet","cornflowerblue"
"TX00004",5,33,75.52,80.918,88.89,97.47,100.3,100.914,144.04,1990,2023,2022-01-05,"01-05",99.19,"Jan","Moderately Wet","cornflowerblue"
"TX00004",6,33,75.49,80.928,88.87,97.45,100.28,100.752,142.59,1990,2023,2022-01-06,"01-06",99.19,"Jan","Moderately Wet","cornflowerblue"
"TX00004",7,33,75.47,80.912,88.86,97.43,100.23,100.742,141.12,1990,2023,2022-01-07,"01-07",99.1,"Jan","Moderately Wet","cornflowerblue"
"TX00004",8,33,75.43,80.906,88.84,97.36,100.22,100.73,139.63,1990,2023,2022-01-08,"01-08",99.02,"Jan","Moderately Wet","cornflowerblue"
"TX00004",9,33,75.41,80.948,88.77,97.68,100.25,100.52,137.97,1990,2023,2022-01-09,"01-09",99.04,"Jan","Moderately Wet","cornflowerblue"
"TX00004",10,33,75.43,80.956,88.76,97.64,100.23,100.762,136.27,1990,2023,2022-01-10,"01-10",98.99,"Jan","Moderately Wet","cornflowerblue"
"TX00004",11,33,75.45,80.97,88.91,97.58,100.04,100.84,134.65,1990,2023,2022-01-11,"01-11",98.93,"Jan","Moderately Wet","cornflowerblue"
"TX00004",12,32,75.43,80.825,88.285,97.195,100.05,101.108,133.03,1990,2023,NA,NA,NA,NA,NA,NA
"TX00004",13,32,75.43,80.859,88.2525,97.175,100.055,101.329,131.28,1990,2023,NA,NA,NA,NA,NA,NA
"TX00004",14,32,75.41,80.972,88.2225,97.185,100.035,101.538,129.49,1990,2023,NA,NA,NA,NA,NA,NA
"TX00004",15,32,75.41,81.485,88.2,97.24,100.0225,101.746,127.69,1990,2023,NA,NA,NA,NA,NA,NA
"TX00004",16,32,75.4,81.94,88.1925,97.26,100.225,101.834,125.86,1990,2023,NA,NA,NA,NA,NA,NA
"TX00004",17,32,75.38,82.198,88.175,97.27,100.265,101.884,124.15,1990,2023,NA,NA,NA,NA,NA,NA
"TX00004",18,32,75.38,82.19,88.16,97.24,100.2525,101.928,122.52,1990,2023,NA,NA,NA,NA,NA,NA
"TX00004",19,33,75.36,82.276,88.65,97.64,100.19,101.908,120.86,1990,2023,2022-01-19,"01-19",98.52,"Jan","Moderately Wet","cornflowerblue"
"TX00004",20,33,75.36,82.33,88.68,97.64,100.22,101.992,119.12,1990,2023,2022-01-20,"01-20",98.5,"Jan","Moderately Wet","cornflowerblue"
"TX00004",21,33,75.43,82.348,88.68,97.62,100.22,102.08,117.51,1990,2023,2022-01-21,"01-21",98.41,"Jan","Moderately Wet","cornflowerblue"
"TX00004",22,33,76.1,82.378,88.67,97.55,100.22,102.166,115.82,1990,2023,2022-01-22,"01-22",98.35,"Jan","Moderately Wet","cornflowerblue"
"TX00004",23,33,76.41,82.41,88.66,97.58,100.22,102.23,114.11,1990,2023,2022-01-23,"01-23",98.26,"Jan","Moderately Wet","cornflowerblue"
"TX00004",24,33,76.59,82.432,88.66,97.55,100.22,102.284,112.32,1990,2023,2022-01-24,"01-24",98.2,"Jan","Moderately Wet","cornflowerblue"
"TX00004",25,33,76.72,82.456,88.69,97.51,100.17,102.298,110.56,1990,2023,2022-01-25,"01-25",98.2,"Jan","Moderately Wet","cornflowerblue"
"TX00004",26,33,76.79,82.448,88.72,97.49,100.17,102.276,110.15,1990,2023,2022-01-26,"01-26",98.2,"Jan","Moderately Wet","cornflowerblue"
"TX00004",27,33,76.86,82.444,88.69,97.47,100.33,102.274,111.69,1990,2023,2022-01-27,"01-27",98.11,"Jan","Moderately Wet","cornflowerblue"
"TX00004",28,33,76.94,82.452,88.65,97.43,100.31,102.282,113.24,1990,2023,2022-01-28,"01-28",98.11,"Jan","Moderately Wet","cornflowerblue"
"TX00004",29,33,76.97,82.444,88.6,97.4,100.29,101.996,114.55,1990,2023,2022-01-29,"01-29",98.07,"Jan","Moderately Wet","cornflowerblue"
"TX00004",30,33,76.99,82.408,88.58,97.4,100.22,101.708,115.73,1990,2023,2022-01-30,"01-30",98.04,"Jan","Moderately Wet","cornflowerblue"
"TX00004",31,33,77.08,82.372,88.58,97.38,100.31,101.648,116.68,1990,2023,2022-01-31,"01-31",98.04,"Jan","Moderately Wet","cornflowerblue"
"TX00004",32,33,77.1,82.34,88.58,97.4,100.22,101.772,117.03,1990,2023,2022-02-01,"02-01",98.13,"Feb","Moderately Wet","cornflowerblue"
"TX00004",33,33,77.06,82.344,88.58,97.3,100.24,101.95,117.51,1990,2023,2022-02-02,"02-02",98.13,"Feb","Moderately Wet","cornflowerblue"
"TX00004",34,32,77.03,82.133,88.345,97.15,100.2975,101.997,120.09,1990,2023,NA,NA,NA,NA,NA,NA
"TX00004",35,32,76.99,82.142,89.4275,97.44,100.2625,101.951,132.64,1990,2023,NA,NA,NA,NA,NA,NA
"TX00004",36,32,76.97,82.137,90.815,97.57,100.2075,101.865,138.37,1990,2023,NA,NA,NA,NA,NA,NA
"TX00004",37,32,76.97,82.137,91.0775,97.675,100.1375,101.595,142.04,1990,2023,NA,NA,NA,NA,NA,NA
"TX00004",38,32,76.94,82.131,91.0575,97.735,100.1325,101.417,144.9,1990,2023,NA,NA,NA,NA,NA,NA
"TX00004",39,32,76.94,82.122,91.02,97.77,100.075,101.312,147.28,1990,2023,NA,NA,NA,NA,NA,NA
"TX00004",40,32,77.01,82.102,90.9975,97.855,100.0475,101.245,148.97,1990,2023,NA,NA,NA,NA,NA,NA
"TX00004",41,32,76.97,82.129,90.99,97.88,100.0575,101.223,149.67,1990,2023,NA,NA,NA,NA,NA,NA
"TX00004",42,32,77.01,82.145,90.975,97.91,100.1325,101.168,150.61,1990,2023,NA,NA,NA,NA,NA,NA
"TX00004",43,32,76.99,82.125,90.9675,98.135,100.215,101.14,151.86,1990,2023,NA,NA,NA,NA,NA,NA
"TX00004",44,32,76.97,82.094,90.9175,98.455,100.235,101.103,152.35,1990,2023,NA,NA,NA,NA,NA,NA
"TX00004",45,32,76.96,82.054,90.895,98.735,100.32,101.03,152.44,1990,2023,NA,NA,NA,NA,NA,NA
"TX00004",46,32,76.92,82.036,90.8875,98.92,100.3375,101.019,151.66,1990,2023,NA,NA,NA,NA,NA,NA
"TX00004",47,32,76.9,82.018,90.8875,99.12,100.3375,101.27,150.38,1990,2023,NA,NA,NA,NA,NA,NA
