"site","julian","date","depth_ft","status","colorStatus"
5758203,"14",2020-01-14,58.44,"Extremely Wet","navy"
5758203,"30",2020-01-30,58.44,"Extremely Wet","navy"
5758203,"44",2020-02-13,58.45,"Extremely Wet","navy"
5758203,"58",2020-02-27,58.44,"Extremely Wet","navy"
5758203,"76",2020-03-16,58.45,"Extremely Wet","navy"
5758203,"90",2020-03-30,58.45,"Extremely Wet","navy"
5758203,"107",2020-04-16,58.45,"Extremely Wet","navy"
5758203,"121",2020-04-30,58.46,"Extremely Wet","navy"
5758203,"135",2020-05-14,58.46,"Extremely Wet","navy"
5758203,"149",2020-05-28,58.46,"Extremely Wet","navy"
5758203,"167",2020-06-15,58.47,"Extremely Wet","navy"
5758203,"181",2020-06-29,58.46,"Extremely Wet","navy"
5758203,"198",2020-07-16,58.46,"Extremely Wet","navy"
5758203,"212",2020-07-30,58.47,"Extremely Wet","navy"
5758203,"226",2020-08-13,58.47,"Extremely Wet","navy"
5758203,"240",2020-08-27,58.46,"Extremely Wet","navy"
5758203,"259",2020-09-15,58.46,"Extremely Wet","navy"
5758203,"274",2020-09-30,58.47,"Extremely Wet","navy"
5758203,"289",2020-10-15,58.47,"Extremely Wet","navy"
5758203,"303",2020-10-29,58.47,"Extremely Wet","navy"
5758203,"321",2020-11-16,58.47,"Extremely Wet","navy"
5758203,"335",2020-11-30,58.46,"Extremely Wet","navy"
5758203,"350",2020-12-15,58.46,"Extremely Wet","navy"
5758203,"363",2020-12-28,58.46,"Extremely Wet","navy"
5758203,"14",2021-01-14,58.46,"Moderately Dry","orange"
5758203,"28",2021-01-28,58.46,"Extremely Wet","navy"
5758203,"42",2021-02-11,58.47,"Extremely Wet","navy"
5758203,"56",2021-02-25,58.46,"Extremely Wet","navy"
5758203,"75",2021-03-16,58.45,"Extremely Wet","navy"
5758203,"89",2021-03-30,58.47,"Extremely Wet","navy"
5758203,"105",2021-04-15,58.48,"Extremely Wet","navy"
5758203,"119",2021-04-29,58.48,"Extremely Wet","navy"
5758203,"133",2021-05-13,58.47,"Extremely Wet","navy"
5758203,"146",2021-05-26,58.48,"Extremely Wet","navy"
5758203,"168",2021-06-17,58.48,"Extremely Wet","navy"
5758203,"180",2021-06-29,58.48,"Extremely Wet","navy"
5758203,"196",2021-07-15,58.48,"Extremely Wet","navy"
5758203,"210",2021-07-29,58.47,"Extremely Wet","navy"
5758203,"228",2021-08-16,58.47,"Extremely Wet","navy"
5758203,"242",2021-08-30,58.46,"Extremely Wet","navy"
5758203,"258",2021-09-15,58.47,"Extremely Wet","navy"
5758203,"273",2021-09-30,58.47,"Extremely Wet","navy"
5758203,"288",2021-10-15,58.48,"Extremely Wet","navy"
5758203,"301",2021-10-28,58.47,"Extremely Wet","navy"
5758203,"319",2021-11-15,58.47,"Extremely Wet","navy"
5758203,"334",2021-11-30,58.47,"Extremely Wet","navy"
5758203,"348",2021-12-14,58.47,"Extremely Wet","navy"
5758203,"362",2021-12-28,58.47,"Extremely Wet","navy"
5758203,"13",2022-01-13,58.46,"Extremely Wet","navy"
5758203,"27",2022-01-27,58.47,"Extremely Wet","navy"
5758402,"14",2020-01-14,177.53,"Moderately Wet","cornflowerblue"
5758402,"30",2020-01-30,177.29,"Extremely Dry","darkred"
5758402,"44",2020-02-13,177.32,"Extremely Dry","darkred"
5758402,"58",2020-02-27,177.29,"Extremely Dry","darkred"
5758402,"76",2020-03-16,177.27,"Extremely Dry","darkred"
5758402,"90",2020-03-30,177.06,"Very Dry","red"
5758402,"107",2020-04-16,176.94,"Extremely Wet","navy"
5758402,"121",2020-04-30,177.24,"Extremely Dry","darkred"
5758402,"135",2020-05-14,177.65,"Moderately Dry","orange"
5758402,"149",2020-05-28,177.67,"Moderately Dry","orange"
5758402,"167",2020-06-15,178.1,"Extremely Dry","darkred"
5758402,"181",2020-06-29,179.5,"Extremely Dry","darkred"
5758402,"198",2020-07-16,179.54,"Extremely Dry","darkred"
5758402,"212",2020-07-30,181.38,"Very Dry","red"
5758402,"226",2020-08-13,181.85,"Extremely Dry","darkred"
5758402,"240",2020-08-27,182.67,"Extremely Dry","darkred"
5758402,"259",2020-09-15,181.49,"Extremely Dry","darkred"
5758402,"274",2020-09-30,181.62,"Extremely Dry","darkred"
5758402,"289",2020-10-15,181.65,"Very Dry","red"
5758402,"303",2020-10-29,182.12,"Extremely Dry","darkred"
5758402,"321",2020-11-16,182.95,"Extremely Dry","darkred"
5758402,"335",2020-11-30,183.28,"Extremely Dry","darkred"
5758402,"350",2020-12-15,183,"Extremely Dry","darkred"
5758402,"363",2020-12-28,183.12,"Extremely Dry","darkred"
5758402,"14",2021-01-14,183.79,"Extremely Dry","darkred"
5758402,"28",2021-01-28,183.4,"Extremely Dry","darkred"
5758402,"42",2021-02-11,183.6,"Extremely Dry","darkred"
5758402,"56",2021-02-25,183.75,"Extremely Dry","darkred"
5758402,"75",2021-03-16,184.03,"Extremely Dry","darkred"
5758402,"89",2021-03-30,184.19,"Extremely Dry","darkred"
5758402,"105",2021-04-15,184.63,"Extremely Dry","darkred"
5758402,"119",2021-04-29,184.9,"Extremely Dry","darkred"
5758402,"133",2021-05-13,184.75,"Extremely Dry","darkred"
5758402,"146",2021-05-26,184.84,"Extremely Wet","navy"
5758402,"168",2021-06-17,183.91,"Extremely Wet","navy"
5758402,"180",2021-06-29,184.43,"Extremely Dry","darkred"
5758402,"196",2021-07-15,184.2,"Extremely Dry","darkred"
5758402,"210",2021-07-29,184.36,"Extremely Dry","darkred"
5758402,"228",2021-08-16,185.44,"Extremely Dry","darkred"
5758402,"242",2021-08-30,185.45,"Extremely Dry","darkred"
5758402,"258",2021-09-15,185.77,"Extremely Dry","darkred"
5758402,"273",2021-09-30,185.74,"Extremely Dry","darkred"
5758402,"288",2021-10-15,185.34,"Extremely Dry","darkred"
5758402,"301",2021-10-28,185.4,"Extremely Dry","darkred"
5758402,"319",2021-11-15,185.08,"Extremely Dry","darkred"
5758402,"334",2021-11-30,185.03,"Extremely Dry","darkred"
5758402,"348",2021-12-14,184.85,"Extremely Dry","darkred"
5758402,"362",2021-12-28,185.04,"Extremely Wet","navy"
5758402,"13",2022-01-13,184.65,"Extremely Wet","navy"
5758402,"27",2022-01-27,184.69,"Extremely Wet","navy"
6801314,"14",2020-01-14,152.4,"Moderately Wet","cornflowerblue"
6801314,"30",2020-01-30,149.97,"Extremely Dry","darkred"
6801314,"44",2020-02-13,160.12,"Extremely Dry","darkred"
6801314,"58",2020-02-27,159.57,"Extremely Dry","darkred"
6801314,"76",2020-03-16,157.14,"Extremely Dry","darkred"
6801314,"90",2020-03-30,159.43,"Very Dry","red"
6801314,"107",2020-04-16,158.46,"Extremely Wet","navy"
6801314,"121",2020-04-30,161.78,"Extremely Dry","darkred"
6801314,"135",2020-05-14,163.91,"Extremely Dry","darkred"
6801314,"149",2020-05-28,161.93,"Extremely Dry","darkred"
6801314,"167",2020-06-15,165.62,"Very Dry","red"
6801314,"181",2020-06-29,161.57,"Extremely Dry","darkred"
6801314,"198",2020-07-16,171.01,"Extremely Dry","darkred"
