date,elev_Ft,storage_AF,fstorage_AF,locid,district,NIDID,name
8/28/2015,536.41,41301,41301,143048,SWF,TX08004,Aquilla Lake
8/29/2015,536.38,41212,41212,143048,SWF,TX08004,Aquilla Lake
8/30/2015,536.36,41153,41153,143048,SWF,TX08004,Aquilla Lake
8/31/2015,536.34,41094,41094,143048,SWF,TX08004,Aquilla Lake
9/1/2015,536.31,41005,41005,143048,SWF,TX08004,Aquilla Lake
9/2/2015,536.28,40916,40916,143048,SWF,TX08004,Aquilla Lake
9/3/2015,536.25,40828,40828,143048,SWF,TX08004,Aquilla Lake
9/4/2015,536.23,40769,40769,143048,SWF,TX08004,Aquilla Lake
9/5/2015,536.2,40680,40680,143048,SWF,TX08004,Aquilla Lake
9/6/2015,536.18,40620,40620,143048,SWF,TX08004,Aquilla Lake
9/7/2015,536.16,40562,40562,143048,SWF,TX08004,Aquilla Lake
9/8/2015,536.13,40473,40473,143048,SWF,TX08004,Aquilla Lake
9/9/2015,536.11,40414,40414,143048,SWF,TX08004,Aquilla Lake
9/10/2015,536.13,40473,40473,143048,SWF,TX08004,Aquilla Lake
9/11/2015,536.1,40384,40384,143048,SWF,TX08004,Aquilla Lake
9/12/2015,536.08,40325,40325,143048,SWF,TX08004,Aquilla Lake
9/13/2015,536.03,40178,40178,143048,SWF,TX08004,Aquilla Lake
9/14/2015,535.98,40032,40032,143048,SWF,TX08004,Aquilla Lake
9/15/2015,535.95,39948,39948,143048,SWF,TX08004,Aquilla Lake
9/16/2015,535.92,39864,39864,143048,SWF,TX08004,Aquilla Lake
9/17/2015,535.89,39779,39779,143048,SWF,TX08004,Aquilla Lake
9/18/2015,535.87,39723,39723,143048,SWF,TX08004,Aquilla Lake
9/19/2015,535.86,39695,39695,143048,SWF,TX08004,Aquilla Lake
9/20/2015,535.83,39619,39619,143048,SWF,TX08004,Aquilla Lake
9/21/2015,535.81,39565,39565,143048,SWF,TX08004,Aquilla Lake
9/22/2015,535.79,39498,39498,143048,SWF,TX08004,Aquilla Lake
9/23/2015,535.77,39432,39432,143048,SWF,TX08004,Aquilla Lake
9/24/2015,535.74,39362,39362,143048,SWF,TX08004,Aquilla Lake
9/25/2015,535.72,39301,39301,143048,SWF,TX08004,Aquilla Lake
9/26/2015,535.69,39207,39207,143048,SWF,TX08004,Aquilla Lake
9/27/2015,535.66,39138,39138,143048,SWF,TX08004,Aquilla Lake
9/28/2015,535.63,39055,39055,143048,SWF,TX08004,Aquilla Lake
9/29/2015,535.61,38992,38992,143048,SWF,TX08004,Aquilla Lake
9/30/2015,535.59,38928,38928,143048,SWF,TX08004,Aquilla Lake
10/1/2015,535.57,38866,38866,143048,SWF,TX08004,Aquilla Lake
10/2/2015,535.54,38800,38800,143048,SWF,TX08004,Aquilla Lake
10/3/2015,535.44,38514,38514,143048,SWF,TX08004,Aquilla Lake
10/4/2015,535.35,38261,38261,143048,SWF,TX08004,Aquilla Lake
10/5/2015,535.27,38036,38036,143048,SWF,TX08004,Aquilla Lake
10/6/2015,535.18,37773,37773,143048,SWF,TX08004,Aquilla Lake
10/7/2015,535.18,37778,37778,143048,SWF,TX08004,Aquilla Lake
10/8/2015,535.17,37755,37755,143048,SWF,TX08004,Aquilla Lake
10/9/2015,535.15,37698,37698,143048,SWF,TX08004,Aquilla Lake
10/10/2015,535.14,37670,37670,143048,SWF,TX08004,Aquilla Lake
10/11/2015,535.09,37530,37530,143048,SWF,TX08004,Aquilla Lake
10/12/2015,535.06,37445,37445,143048,SWF,TX08004,Aquilla Lake
10/13/2015,535.05,37417,37417,143048,SWF,TX08004,Aquilla Lake
10/14/2015,535.02,37333,37333,143048,SWF,TX08004,Aquilla Lake
10/15/2015,534.99,37250,37250,143048,SWF,TX08004,Aquilla Lake
10/16/2015,534.96,37170,37170,143048,SWF,TX08004,Aquilla Lake
10/17/2015,534.93,37104,37104,143048,SWF,TX08004,Aquilla Lake
10/18/2015,534.9,37010,37010,143048,SWF,TX08004,Aquilla Lake
10/19/2015,534.84,36851,36851,143048,SWF,TX08004,Aquilla Lake
10/20/2015,534.81,36771,36771,143048,SWF,TX08004,Aquilla Lake
10/21/2015,534.78,36691,36691,143048,SWF,TX08004,Aquilla Lake
10/22/2015,534.78,36691,36691,143048,SWF,TX08004,Aquilla Lake
